测试名称,总带宽(KB/s),值,总带宽(MB/s),值,平均单流带宽(KB/s),值,平均单流带宽(MB/s),值
bgonly_rw-read_bs-4k_iodepth-1_count-8_iter-1,总带宽(KB/s),2113542,总带宽(MB/s),2064,平均单流带宽(KB/s),264192,平均单流带宽(MB/s),258
bgonly_rw-read_bs-4k_iodepth-1_count-8_iter-2,总带宽(KB/s),2126426,总带宽(MB/s),2076,平均单流带宽(KB/s),265803,平均单流带宽(MB/s),259
bgonly_rw-read_bs-4k_iodepth-1_count-8_iter-3,总带宽(KB/s),2118574,总带宽(MB/s),2068,平均单流带宽(KB/s),264821,平均单流带宽(MB/s),258
bgonly_rw-read_bs-4k_iodepth-4_count-8_iter-1,总带宽(KB/s),3762869,总带宽(MB/s),3674,平均单流带宽(KB/s),470358,平均单流带宽(MB/s),459
bgonly_rw-read_bs-4k_iodepth-4_count-8_iter-2,总带宽(KB/s),3763018,总带宽(MB/s),3674,平均单流带宽(KB/s),470377,平均单流带宽(MB/s),459
bgonly_rw-read_bs-4k_iodepth-4_count-8_iter-3,总带宽(KB/s),3762174,总带宽(MB/s),3673,平均单流带宽(KB/s),470271,平均单流带宽(MB/s),459
bgonly_rw-read_bs-4k_iodepth-16_count-8_iter-1,总带宽(KB/s),3784373,总带宽(MB/s),3695,平均单流带宽(KB/s),473046,平均单流带宽(MB/s),461
bgonly_rw-read_bs-4k_iodepth-16_count-8_iter-2,总带宽(KB/s),3784843,总带宽(MB/s),3696,平均单流带宽(KB/s),473105,平均单流带宽(MB/s),462
bgonly_rw-read_bs-4k_iodepth-16_count-8_iter-3,总带宽(KB/s),3785041,总带宽(MB/s),3696,平均单流带宽(KB/s),473130,平均单流带宽(MB/s),462
bgonly_rw-read_bs-4k_iodepth-64_count-8_iter-1,总带宽(KB/s),3788699,总带宽(MB/s),3699,平均单流带宽(KB/s),473587,平均单流带宽(MB/s),462
bgonly_rw-read_bs-4k_iodepth-64_count-8_iter-2,总带宽(KB/s),3788810,总带宽(MB/s),3700,平均单流带宽(KB/s),473601,平均单流带宽(MB/s),462
bgonly_rw-read_bs-4k_iodepth-64_count-8_iter-3,总带宽(KB/s),3788678,总带宽(MB/s),3699,平均单流带宽(KB/s),473584,平均单流带宽(MB/s),462
bgonly_rw-read_bs-4k_iodepth-256_count-8_iter-1,总带宽(KB/s),3788705,总带宽(MB/s),3699,平均单流带宽(KB/s),473588,平均单流带宽(MB/s),462
bgonly_rw-read_bs-4k_iodepth-256_count-8_iter-2,总带宽(KB/s),3788617,总带宽(MB/s),3699,平均单流带宽(KB/s),473577,平均单流带宽(MB/s),462
bgonly_rw-read_bs-4k_iodepth-256_count-8_iter-3,总带宽(KB/s),3788718,总带宽(MB/s),3699,平均单流带宽(KB/s),473589,平均单流带宽(MB/s),462
bgonly_rw-read_bs-4k_iodepth-1024_count-8_iter-1,总带宽(KB/s),3788499,总带宽(MB/s),3699,平均单流带宽(KB/s),473562,平均单流带宽(MB/s),462
bgonly_rw-read_bs-4k_iodepth-1024_count-8_iter-2,总带宽(KB/s),3788566,总带宽(MB/s),3699,平均单流带宽(KB/s),473570,平均单流带宽(MB/s),462
bgonly_rw-read_bs-4k_iodepth-1024_count-8_iter-3,总带宽(KB/s),3788737,总带宽(MB/s),3699,平均单流带宽(KB/s),473592,平均单流带宽(MB/s),462
