配置编号,Background数量,块大小,调度器模式,配置描述,high_threshold,low_threshold,运行次数,fio吞吐量(KB/s),fio吞吐量(MB/s),RocksDB平均延迟(μs),RocksDB真实Get平均延迟(μs),DeviceRead平均延迟(μs),DeviceReadP50(μs),DeviceReadP95(μs),DeviceReadP99(μs),DeviceRead样本数,RocksDB统计项,dbbench_elapsed_s,dbbench_ops_per_sec,完成时间
1,2,1M,none,none,N/A,N/A,1,12264251,11976.81,101369.284,779.372,683.821,633,1028,1218,347,readrandom,26.105,9,2026年 05月 15日 星期五 20:56:42 CST
2,2,1M,bfq,bfq,N/A,N/A,1,11284294,11019.82,101339.768,757.712,538.071,541,750,874,351,readrandom,27.095,9,2026年 05月 15日 星期五 20:57:22 CST
3,2,1M,bfq_limit_same,bfq_limit(same:4194304),4194304,4194304,1,11410552,11143.12,100857.668,324.420,292.114,288,452,602,351,readrandom,26.082,9,2026年 05月 15日 星期五 20:58:01 CST
4,2,1M,bfq_limit_dual,bfq_limit(dual:4194304/3145728),4194304,3145728,1,11352845,11086.76,100774.048,238.564,246.062,239,415,649,338,readrandom,26.082,9,2026年 05月 15日 星期五 20:58:39 CST
5,2,1M,bfq_limit_dual,bfq_limit(dual:4194304/2097152),4194304,2097152,1,11632633,11359.99,100728.408,191.288,214.084,181,428,762,346,readrandom,26.085,9,2026年 05月 15日 星期五 20:59:18 CST
6,2,1M,bfq_limit_dual,bfq_limit(dual:4194304/1048576),4194304,1048576,1,11566946,11295.85,100704.228,161.504,174.622,149,363,508,347,readrandom,26.090,9,2026年 05月 15日 星期五 20:59:56 CST
7,4,1M,none,none,N/A,N/A,1,11924811,11645.32,102079.964,1518.724,1415.142,1407,1823,2103,359,readrandom,27.096,9,2026年 05月 15日 星期五 21:00:36 CST
8,4,1M,bfq,bfq,N/A,N/A,1,11104551,10844.29,101794.908,1255.028,969.304,1153,1481,1599,349,readrandom,27.086,9,2026年 05月 15日 星期五 21:01:15 CST
9,4,1M,bfq_limit_same,bfq_limit(same:4194304),4194304,4194304,1,11307663,11042.64,100869.772,328.904,304.043,288,467,987,352,readrandom,26.083,9,2026年 05月 15日 星期五 21:01:53 CST
10,4,1M,bfq_limit_dual,bfq_limit(dual:4194304/3145728),4194304,3145728,1,11353865,11087.76,100784.224,245.516,236.986,233,374,544,349,readrandom,26.090,9,2026年 05月 15日 星期五 21:02:32 CST
11,4,1M,bfq_limit_dual,bfq_limit(dual:4194304/2097152),4194304,2097152,1,11360599,11094.33,100728.048,189.140,200.963,175,357,556,351,readrandom,26.086,9,2026年 05月 15日 星期五 21:03:10 CST
12,4,1M,bfq_limit_dual,bfq_limit(dual:4194304/1048576),4194304,1048576,1,11424424,11156.66,100684.312,145.676,166.401,141,347,576,347,readrandom,26.087,9,2026年 05月 15日 星期五 21:03:48 CST
13,8,1M,none,none,N/A,N/A,1,12145652,11860.99,103274.296,2736.864,2624.389,2635,3059,3173,342,readrandom,27.094,9,2026年 05月 15日 星期五 21:04:27 CST
