测试名称,总带宽(KB/s),值,总带宽(MB/s),值,平均单流带宽(KB/s),值,平均单流带宽(MB/s),值
gonly_rw-read_bs-4k_iodepth-1_count-1_iter-1,总带宽(KB/s),341578,总带宽(MB/s),333,平均单流带宽(KB/s),341578,平均单流带宽(MB/s),333
bgonly_rw-read_bs-4k_iodepth-1_count-1_iter-2,总带宽(KB/s),341774,总带宽(MB/s),333,平均单流带宽(KB/s),341774,平均单流带宽(MB/s),333
bgonly_rw-read_bs-4k_iodepth-1_count-1_iter-3,总带宽(KB/s),341293,总带宽(MB/s),333,平均单流带宽(KB/s),341293,平均单流带宽(MB/s),333
bgonly_rw-read_bs-4k_iodepth-1_count-8_iter-1,总带宽(KB/s),1129447,总带宽(MB/s),1102,平均单流带宽(KB/s),141180,平均单流带宽(MB/s),137
bgonly_rw-read_bs-4k_iodepth-1_count-8_iter-2,总带宽(KB/s),1141526,总带宽(MB/s),1114,平均单流带宽(KB/s),142690,平均单流带宽(MB/s),139
bgonly_rw-read_bs-4k_iodepth-1_count-8_iter-3,总带宽(KB/s),1084711,总带宽(MB/s),1059,平均单流带宽(KB/s),135588,平均单流带宽(MB/s),132
bgonly_rw-read_bs-4k_iodepth-4_count-1_iter-1,总带宽(KB/s),1608682,总带宽(MB/s),1570,平均单流带宽(KB/s),1608682,平均单流带宽(MB/s),1570
bgonly_rw-read_bs-4k_iodepth-4_count-1_iter-2,总带宽(KB/s),1608340,总带宽(MB/s),1570,平均单流带宽(KB/s),1608340,平均单流带宽(MB/s),1570
bgonly_rw-read_bs-4k_iodepth-4_count-1_iter-3,总带宽(KB/s),1608652,总带宽(MB/s),1570,平均单流带宽(KB/s),1608652,平均单流带宽(MB/s),1570
bgonly_rw-read_bs-4k_iodepth-4_count-8_iter-1,总带宽(KB/s),2137397,总带宽(MB/s),2087,平均单流带宽(KB/s),267174,平均单流带宽(MB/s),260
bgonly_rw-read_bs-4k_iodepth-4_count-8_iter-2,总带宽(KB/s),2204590,总带宽(MB/s),2152,平均单流带宽(KB/s),275573,平均单流带宽(MB/s),269
bgonly_rw-read_bs-4k_iodepth-4_count-8_iter-3,总带宽(KB/s),2116962,总带宽(MB/s),2067,平均单流带宽(KB/s),264620,平均单流带宽(MB/s),258
bgonly_rw-read_bs-4k_iodepth-16_count-1_iter-1,总带宽(KB/s),2664895,总带宽(MB/s),2602,平均单流带宽(KB/s),2664895,平均单流带宽(MB/s),2602
bgonly_rw-read_bs-4k_iodepth-16_count-1_iter-2,总带宽(KB/s),2657478,总带宽(MB/s),2595,平均单流带宽(KB/s),2657478,平均单流带宽(MB/s),2595
bgonly_rw-read_bs-4k_iodepth-16_count-1_iter-3,总带宽(KB/s),2662827,总带宽(MB/s),2600,平均单流带宽(KB/s),2662827,平均单流带宽(MB/s),2600
bgonly_rw-read_bs-4k_iodepth-16_count-8_iter-1,总带宽(KB/s),8546057,总带宽(MB/s),8345,平均单流带宽(KB/s),1068257,平均单流带宽(MB/s),1043
bgonly_rw-read_bs-4k_iodepth-16_count-8_iter-2,总带宽(KB/s),8568053,总带宽(MB/s),8367,平均单流带宽(KB/s),1071006,平均单流带宽(MB/s),1045
bgonly_rw-read_bs-4k_iodepth-16_count-8_iter-3,总带宽(KB/s),5402812,总带宽(MB/s),5276,平均单流带宽(KB/s),675351,平均单流带宽(MB/s),659
bgonly_rw-read_bs-4k_iodepth-64_count-1_iter-1,总带宽(KB/s),2931056,总带宽(MB/s),2862,平均单流带宽(KB/s),2931056,平均单流带宽(MB/s),2862
bgonly_rw-read_bs-4k_iodepth-64_count-1_iter-2,总带宽(KB/s),2930551,总带宽(MB/s),2861,平均单流带宽(KB/s),2930551,平均单流带宽(MB/s),2861
bgonly_rw-read_bs-4k_iodepth-64_count-1_iter-3,总带宽(KB/s),2921840,总带宽(MB/s),2853,平均单流带宽(KB/s),2921840,平均单流带宽(MB/s),2853
bgonly_rw-read_bs-4k_iodepth-64_count-8_iter-1,总带宽(KB/s),9036571,总带宽(MB/s),8824,平均单流带宽(KB/s),1129571,平均单流带宽(MB/s),1103
bgonly_rw-read_bs-4k_iodepth-64_count-8_iter-2,总带宽(KB/s),9163638,总带宽(MB/s),8948,平均单流带宽(KB/s),1145454,平均单流带宽(MB/s),1118
bgonly_rw-read_bs-4k_iodepth-64_count-8_iter-3,总带宽(KB/s),9317360,总带宽(MB/s),9098,平均单流带宽(KB/s),1164670,平均单流带宽(MB/s),1137
bgonly_rw-read_bs-4k_iodepth-256_count-1_iter-1,总带宽(KB/s),2949162,总带宽(MB/s),2880,平均单流带宽(KB/s),2949162,平均单流带宽(MB/s),2880
bgonly_rw-read_bs-4k_iodepth-256_count-1_iter-2,总带宽(KB/s),2941948,总带宽(MB/s),2872,平均单流带宽(KB/s),2941948,平均单流带宽(MB/s),2872
bgonly_rw-read_bs-4k_iodepth-256_count-1_iter-3,总带宽(KB/s),2937395,总带宽(MB/s),2868,平均单流带宽(KB/s),2937395,平均单流带宽(MB/s),2868
bgonly_rw-read_bs-4k_iodepth-256_count-8_iter-1,总带宽(KB/s),8453398,总带宽(MB/s),8255,平均单流带宽(KB/s),1056674,平均单流带宽(MB/s),1031
bgonly_rw-read_bs-4k_iodepth-256_count-8_iter-2,总带宽(KB/s),8546021,总带宽(MB/s),8345,平均单流带宽(KB/s),1068252,平均单流带宽(MB/s),1043
bgonly_rw-read_bs-4k_iodepth-256_count-8_iter-3,总带宽(KB/s),8475732,总带宽(MB/s),8277,平均单流带宽(KB/s),1059466,平均单流带宽(MB/s),1034
bgonly_rw-read_bs-4k_iodepth-1024_count-1_iter-1,总带宽(KB/s),2941190,总带宽(MB/s),2872,平均单流带宽(KB/s),2941190,平均单流带宽(MB/s),2872
bgonly_rw-read_bs-4k_iodepth-1024_count-1_iter-2,总带宽(KB/s),2948128,总带宽(MB/s),2879,平均单流带宽(KB/s),2948128,平均单流带宽(MB/s),2879
bgonly_rw-read_bs-4k_iodepth-1024_count-1_iter-3,总带宽(KB/s),2943731,总带宽(MB/s),2874,平均单流带宽(KB/s),2943731,平均单流带宽(MB/s),2874
bgonly_rw-read_bs-4k_iodepth-1024_count-8_iter-1,总带宽(KB/s),8143756,总带宽(MB/s),7952,平均单流带宽(KB/s),1017969,平均单流带宽(MB/s),994
bgonly_rw-read_bs-4k_iodepth-1024_count-8_iter-2,总带宽(KB/s),8235268,总带宽(MB/s),8042,平均单流带宽(KB/s),1029408,平均单流带宽(MB/s),1005
bgonly_rw-read_bs-4k_iodepth-1024_count-8_iter-3,总带宽(KB/s),8264188,总带宽(MB/s),8070,平均单流带宽(KB/s),1033023,平均单流带宽(MB/s),1008
bgonly_rw-read_bs-16k_iodepth-1_count-1_iter-1,总带宽(KB/s),1319022,总带宽(MB/s),1288,平均单流带宽(KB/s),1319022,平均单流带宽(MB/s),1288
bgonly_rw-read_bs-16k_iodepth-1_count-1_iter-2,总带宽(KB/s),1317466,总带宽(MB/s),1286,平均单流带宽(KB/s),1317466,平均单流带宽(MB/s),1286
bgonly_rw-read_bs-16k_iodepth-1_count-1_iter-3,总带宽(KB/s),1317378,总带宽(MB/s),1286,平均单流带宽(KB/s),1317378,平均单流带宽(MB/s),1286
bgonly_rw-read_bs-16k_iodepth-1_count-8_iter-1,总带宽(KB/s),2055474,总带宽(MB/s),2007,平均单流带宽(KB/s),256934,平均单流带宽(MB/s),250
bgonly_rw-read_bs-16k_iodepth-1_count-8_iter-2,总带宽(KB/s),2074833,总带宽(MB/s),2026,平均单流带宽(KB/s),259354,平均单流带宽(MB/s),253
bgonly_rw-read_bs-16k_iodepth-1_count-8_iter-3,总带宽(KB/s),2073928,总带宽(MB/s),2025,平均单流带宽(KB/s),259241,平均单流带宽(MB/s),253
bgonly_rw-read_bs-16k_iodepth-4_count-1_iter-1,总带宽(KB/s),4944257,总带宽(MB/s),4828,平均单流带宽(KB/s),4944257,平均单流带宽(MB/s),4828
