配置编号,Background数量,Burst进程数,块大小,调度器模式,具体配置,运行次数,Sustained吞吐量,Burst延迟(μs),突发轮次,完成时间
1,8,2,1M,none,none,1,12.884GB/s,2469.06,441,2026年 05月 19日 星期二 16:29:42 CST
1,8,2,1M,bfq,bfq,1,10.587GB/s,2616.38,441,2026年 05月 19日 星期二 16:30:18 CST
1,8,2,1M,duet_same,duet_same(4194304),1,11.059GB/s,262.00,451,2026年 05月 19日 星期二 16:30:54 CST
1,8,2,1M,none,none,2,12.455GB/s,2564.74,441,2026年 05月 19日 星期二 16:31:35 CST
1,8,2,1M,bfq,bfq,2,10.565GB/s,2623.80,441,2026年 05月 19日 星期二 16:32:11 CST
1,8,2,1M,duet_same,duet_same(4194304),2,11.166GB/s,259.75,451,2026年 05月 19日 星期二 16:32:46 CST
1,8,2,1M,none,none,3,12.240GB/s,2601.84,441,2026年 05月 19日 星期二 16:33:27 CST
1,8,2,1M,bfq,bfq,3,10.608GB/s,2605.44,441,2026年 05月 19日 星期二 16:34:03 CST
1,8,2,1M,duet_same,duet_same(4194304),3,11.059GB/s,255.35,451,2026年 05月 19日 星期二 16:34:39 CST
2,8,4,1M,none,none,1,12.240GB/s,2635.06,843,2026年 05月 19日 星期二 16:35:24 CST
2,8,4,1M,bfq,bfq,1,9.959GB/s,2630.24,843,2026年 05月 19日 星期二 16:36:00 CST
2,8,4,1M,duet_same,duet_same(4194304),1,11.166GB/s,250.43,863,2026年 05月 19日 星期二 16:36:36 CST
2,8,4,1M,none,none,2,13.099GB/s,2434.28,844,2026年 05月 19日 星期二 16:37:17 CST
2,8,4,1M,bfq,bfq,2,9.938GB/s,2624.07,843,2026年 05月 19日 星期二 16:37:52 CST
2,8,4,1M,duet_same,duet_same(4194304),2,10.522GB/s,269.99,864,2026年 05月 19日 星期二 16:38:28 CST
2,8,4,1M,none,none,3,12.562GB/s,2567.38,843,2026年 05月 19日 星期二 16:39:09 CST
2,8,4,1M,bfq,bfq,3,9.960GB/s,2604.36,843,2026年 05月 19日 星期二 16:39:45 CST
2,8,4,1M,duet_same,duet_same(4194304),3,10.454GB/s,264.41,863,2026年 05月 19日 星期二 16:40:20 CST
3,8,8,1M,none,none,1,12.133GB/s,2658.33,1530,2026年 05月 19日 星期二 16:41:06 CST
3,8,8,1M,bfq,bfq,1,9.175GB/s,2622.26,1528,2026年 05月 19日 星期二 16:41:42 CST
3,8,8,1M,duet_same,duet_same(4194304),1,10.466GB/s,247.39,1567,2026年 05月 19日 星期二 16:42:18 CST
3,8,8,1M,none,none,2,12.348GB/s,2605.02,1530,2026年 05月 19日 星期二 16:42:59 CST
3,8,8,1M,bfq,bfq,2,9.119GB/s,2602.11,1530,2026年 05月 19日 星期二 16:43:34 CST
3,8,8,1M,duet_same,duet_same(4194304),2,10.396GB/s,260.69,1567,2026年 05月 19日 星期二 16:44:10 CST
3,8,8,1M,none,none,3,12.777GB/s,2518.18,1531,2026年 05月 19日 星期二 16:44:51 CST
3,8,8,1M,bfq,bfq,3,9.206GB/s,2619.05,1531,2026年 05月 19日 星期二 16:45:27 CST
3,8,8,1M,duet_same,duet_same(4194304),3,10.445GB/s,255.93,1567,2026年 05月 19日 星期二 16:46:03 CST
4,8,16,1M,none,none,1,12.455GB/s,2590.33,2437,2026年 05月 19日 星期二 16:46:49 CST
4,8,16,1M,bfq,bfq,1,8.750GB/s,2527.72,2443,2026年 05月 19日 星期二 16:47:24 CST
4,8,16,1M,duet_same,duet_same(4194304),1,10.330GB/s,224.33,2495,2026年 05月 19日 星期二 16:48:00 CST
4,8,16,1M,none,none,2,12.455GB/s,2587.31,2441,2026年 05月 19日 星期二 16:48:41 CST
4,8,16,1M,bfq,bfq,2,8.555GB/s,2617.10,2437,2026年 05月 19日 星期二 16:49:17 CST
4,8,16,1M,duet_same,duet_same(4194304),2,10.378GB/s,244.61,2495,2026年 05月 19日 星期二 16:49:53 CST
4,8,16,1M,none,none,3,12.133GB/s,2665.19,2434,2026年 05月 19日 星期二 16:50:34 CST
4,8,16,1M,bfq,bfq,3,8.727GB/s,2441.36,2438,2026年 05月 19日 星期二 16:51:10 CST
4,8,16,1M,duet_same,duet_same(4194304),3,10.312GB/s,246.09,2495,2026年 05月 19日 星期二 16:51:46 CST
