配置编号,Background数量,块大小,调度器模式,具体配置,运行次数,Sustained吞吐量,Burst延迟(μs),突发轮次,完成时间
1,2,4K,none,none,1,1.646GB/s,153.94,274,2025年 08月 08日 星期五 12:55:55 CST
1,2,4K,bfq,bfq,1,0.923GB/s,163.04,274,2025年 08月 08日 星期五 12:56:37 CST
1,2,4K,duet_same,duet_same(16777216),1,0.834GB/s,170.85,274,2025年 08月 08日 星期五 12:57:18 CST
1,2,4K,duet_same,duet_same(8388608),1,0.807GB/s,153.64,274,2025年 08月 08日 星期五 12:58:00 CST
1,2,4K,duet_same,duet_same(4194304),1,0.810GB/s,157.60,274,2025年 08月 08日 星期五 12:58:41 CST
1,2,4K,duet_same,duet_same(2097152),1,0.793GB/s,157.48,274,2025年 08月 08日 星期五 12:59:23 CST
1,2,4K,duet_same,duet_same(1048576),1,0.787GB/s,139.71,274,2025年 08月 08日 星期五 13:00:05 CST
1,2,4K,duet_dual,duet_dual(4194304/3145728),1,0.760GB/s,159.90,274,2025年 08月 08日 星期五 13:00:46 CST
1,2,4K,duet_dual,duet_dual(4194304/2097152),1,0.794GB/s,146.01,274,2025年 08月 08日 星期五 13:01:28 CST
1,2,4K,duet_dual,duet_dual(4194304/1048576),1,0.757GB/s,148.19,274,2025年 08月 08日 星期五 13:02:10 CST
1,2,4K,none,none,2,1.660GB/s,157.05,274,2025年 08月 08日 星期五 13:02:56 CST
1,2,4K,bfq,bfq,2,0.814GB/s,159.21,274,2025年 08月 08日 星期五 13:03:38 CST
1,2,4K,duet_same,duet_same(16777216),2,0.805GB/s,155.44,274,2025年 08月 08日 星期五 13:04:20 CST
1,2,4K,duet_same,duet_same(8388608),2,0.819GB/s,150.79,274,2025年 08月 08日 星期五 13:05:01 CST
1,2,4K,duet_same,duet_same(4194304),2,0.810GB/s,149.96,274,2025年 08月 08日 星期五 13:05:43 CST
1,2,4K,duet_same,duet_same(2097152),2,0.791GB/s,154.56,274,2025年 08月 08日 星期五 13:06:24 CST
1,2,4K,duet_same,duet_same(1048576),2,0.770GB/s,146.72,274,2025年 08月 08日 星期五 13:07:06 CST
1,2,4K,duet_dual,duet_dual(4194304/3145728),2,0.797GB/s,162.54,274,2025年 08月 08日 星期五 13:07:48 CST
1,2,4K,duet_dual,duet_dual(4194304/2097152),2,0.791GB/s,151.79,274,2025年 08月 08日 星期五 13:08:29 CST
1,2,4K,duet_dual,duet_dual(4194304/1048576),2,0.760GB/s,150.67,274,2025年 08月 08日 星期五 13:09:11 CST
1,2,4K,none,none,3,1.670GB/s,141.68,274,2025年 08月 08日 星期五 13:09:58 CST
1,2,4K,bfq,bfq,3,0.776GB/s,154.41,274,2025年 08月 08日 星期五 13:10:39 CST
1,2,4K,duet_same,duet_same(16777216),3,0.800GB/s,162.13,274,2025年 08月 08日 星期五 13:11:21 CST
1,2,4K,duet_same,duet_same(8388608),3,0.802GB/s,147.09,274,2025年 08月 08日 星期五 13:12:02 CST
1,2,4K,duet_same,duet_same(4194304),3,0.765GB/s,148.81,274,2025年 08月 08日 星期五 13:12:44 CST
1,2,4K,duet_same,duet_same(2097152),3,0.750GB/s,158.19,274,2025年 08月 08日 星期五 13:13:26 CST
1,2,4K,duet_same,duet_same(1048576),3,0.709GB/s,148.24,274,2025年 08月 08日 星期五 13:14:07 CST
1,2,4K,duet_dual,duet_dual(4194304/3145728),3,0.779GB/s,155.64,274,2025年 08月 08日 星期五 13:14:49 CST
1,2,4K,duet_dual,duet_dual(4194304/2097152),3,0.752GB/s,142.45,274,2025年 08月 08日 星期五 13:15:31 CST
1,2,4K,duet_dual,duet_dual(4194304/1048576),3,0.796GB/s,150.64,274,2025年 08月 08日 星期五 13:16:12 CST
2,2,16K,none,none,1,4.487GB/s,132.70,274,2025年 08月 08日 星期五 13:17:04 CST
2,2,16K,bfq,bfq,1,3.221GB/s,141.43,274,2025年 08月 08日 星期五 13:17:46 CST
2,2,16K,duet_same,duet_same(16777216),1,3.245GB/s,143.86,274,2025年 08月 08日 星期五 13:18:27 CST
2,2,16K,duet_same,duet_same(8388608),1,3.213GB/s,140.57,273,2025年 08月 08日 星期五 13:19:09 CST
2,2,16K,duet_same,duet_same(4194304),1,3.176GB/s,141.05,273,2025年 08月 08日 星期五 13:19:50 CST
2,2,16K,duet_same,duet_same(2097152),1,3.198GB/s,150.41,273,2025年 08月 08日 星期五 13:20:32 CST
2,2,16K,duet_same,duet_same(1048576),1,3.224GB/s,140.78,273,2025年 08月 08日 星期五 13:21:14 CST
2,2,16K,duet_dual,duet_dual(4194304/3145728),1,3.260GB/s,131.14,274,2025年 08月 08日 星期五 13:21:55 CST
2,2,16K,duet_dual,duet_dual(4194304/2097152),1,3.235GB/s,142.18,273,2025年 08月 08日 星期五 13:22:37 CST
2,2,16K,duet_dual,duet_dual(4194304/1048576),1,3.267GB/s,144.51,273,2025年 08月 08日 星期五 13:23:19 CST
2,2,16K,none,none,2,4.482GB/s,132.50,274,2025年 08月 08日 星期五 13:24:05 CST
2,2,16K,bfq,bfq,2,3.184GB/s,140.03,274,2025年 08月 08日 星期五 13:24:47 CST
2,2,16K,duet_same,duet_same(16777216),2,3.232GB/s,143.28,273,2025年 08月 08日 星期五 13:25:29 CST
2,2,16K,duet_same,duet_same(8388608),2,3.217GB/s,142.39,273,2025年 08月 08日 星期五 13:26:10 CST
2,2,16K,duet_same,duet_same(4194304),2,3.236GB/s,140.12,274,2025年 08月 08日 星期五 13:26:52 CST
2,2,16K,duet_same,duet_same(2097152),2,3.222GB/s,143.28,273,2025年 08月 08日 星期五 13:27:33 CST
2,2,16K,duet_same,duet_same(1048576),2,3.233GB/s,138.98,273,2025年 08月 08日 星期五 13:28:15 CST
2,2,16K,duet_dual,duet_dual(4194304/3145728),2,3.188GB/s,138.13,273,2025年 08月 08日 星期五 13:28:57 CST
2,2,16K,duet_dual,duet_dual(4194304/2097152),2,3.227GB/s,141.88,274,2025年 08月 08日 星期五 13:29:38 CST
2,2,16K,duet_dual,duet_dual(4194304/1048576),2,3.223GB/s,141.42,273,2025年 08月 08日 星期五 13:30:20 CST
2,2,16K,none,none,3,4.470GB/s,131.18,273,2025年 08月 08日 星期五 13:31:07 CST
2,2,16K,bfq,bfq,3,3.282GB/s,146.27,273,2025年 08月 08日 星期五 13:31:48 CST
2,2,16K,duet_same,duet_same(16777216),3,3.227GB/s,140.33,274,2025年 08月 08日 星期五 13:32:30 CST
2,2,16K,duet_same,duet_same(8388608),3,3.183GB/s,139.61,274,2025年 08月 08日 星期五 13:33:12 CST
2,2,16K,duet_same,duet_same(4194304),3,3.220GB/s,142.16,273,2025年 08月 08日 星期五 13:33:53 CST
2,2,16K,duet_same,duet_same(2097152),3,3.238GB/s,143.26,273,2025年 08月 08日 星期五 13:34:35 CST
2,2,16K,duet_same,duet_same(1048576),3,3.198GB/s,141.41,273,2025年 08月 08日 星期五 13:35:16 CST
2,2,16K,duet_dual,duet_dual(4194304/3145728),3,3.182GB/s,144.41,273,2025年 08月 08日 星期五 13:35:58 CST
2,2,16K,duet_dual,duet_dual(4194304/2097152),3,3.198GB/s,141.06,274,2025年 08月 08日 星期五 13:36:40 CST
2,2,16K,duet_dual,duet_dual(4194304/1048576),3,3.204GB/s,136.56,273,2025年 08月 08日 星期五 13:37:21 CST
3,2,64K,none,none,1,6.620GB/s,146.83,273,2025年 08月 08日 星期五 13:38:13 CST
3,2,64K,bfq,bfq,1,6.453GB/s,140.62,273,2025年 08月 08日 星期五 13:38:55 CST
3,2,64K,duet_same,duet_same(16777216),1,6.485GB/s,139.51,273,2025年 08月 08日 星期五 13:39:36 CST
3,2,64K,duet_same,duet_same(8388608),1,6.498GB/s,143.20,273,2025年 08月 08日 星期五 13:40:18 CST
3,2,64K,duet_same,duet_same(4194304),1,6.491GB/s,143.78,273,2025年 08月 08日 星期五 13:41:00 CST
3,2,64K,duet_same,duet_same(2097152),1,6.504GB/s,137.27,273,2025年 08月 08日 星期五 13:41:41 CST
3,2,64K,duet_same,duet_same(1048576),1,6.466GB/s,141.13,273,2025年 08月 08日 星期五 13:42:23 CST
3,2,64K,duet_dual,duet_dual(4194304/3145728),1,6.484GB/s,138.27,273,2025年 08月 08日 星期五 13:43:04 CST
3,2,64K,duet_dual,duet_dual(4194304/2097152),1,6.442GB/s,135.90,273,2025年 08月 08日 星期五 13:43:46 CST
3,2,64K,duet_dual,duet_dual(4194304/1048576),1,6.510GB/s,134.11,273,2025年 08月 08日 星期五 13:44:28 CST
3,2,64K,none,none,2,6.578GB/s,138.19,273,2025年 08月 08日 星期五 13:45:14 CST
3,2,64K,bfq,bfq,2,6.453GB/s,139.30,273,2025年 08月 08日 星期五 13:45:56 CST
3,2,64K,duet_same,duet_same(16777216),2,6.483GB/s,136.08,273,2025年 08月 08日 星期五 13:46:38 CST
3,2,64K,duet_same,duet_same(8388608),2,6.437GB/s,137.91,273,2025年 08月 08日 星期五 13:47:19 CST
3,2,64K,duet_same,duet_same(4194304),2,6.491GB/s,134.21,273,2025年 08月 08日 星期五 13:48:01 CST
3,2,64K,duet_same,duet_same(2097152),2,6.474GB/s,138.55,273,2025年 08月 08日 星期五 13:48:43 CST
3,2,64K,duet_same,duet_same(1048576),2,6.452GB/s,136.34,273,2025年 08月 08日 星期五 13:49:24 CST
3,2,64K,duet_dual,duet_dual(4194304/3145728),2,6.514GB/s,141.56,273,2025年 08月 08日 星期五 13:50:06 CST
