配置编号,Background数量,块大小,调度器模式,具体配置,运行次数,Sustained吞吐量,Burst延迟(μs),突发轮次,queue_MB均值,queue_MB峰值,完成时间
1,8,4K,none,none,1,3.855GB/s,48.77,275,N/A,N/A,2026年 05月 20日 星期三 11:50:46 CST
1,8,4K,bfq,bfq,1,3.250GB/s,45.98,275,0.09,0.13,2026年 05月 20日 星期三 11:51:28 CST
1,8,4K,duet_same,duet_same(2097152),1,3.240GB/s,45.86,275,0.09,0.13,2026年 05月 20日 星期三 11:52:19 CST
1,8,4K,none,none,2,3.851GB/s,51.31,275,N/A,N/A,2026年 05月 20日 星期三 11:53:06 CST
1,8,4K,bfq,bfq,2,3.182GB/s,47.26,275,0.09,0.13,2026年 05月 20日 星期三 11:53:48 CST
1,8,4K,duet_same,duet_same(2097152),2,3.204GB/s,45.73,275,0.10,0.13,2026年 05月 20日 星期三 11:54:39 CST
1,8,4K,none,none,3,3.855GB/s,48.40,275,N/A,N/A,2026年 05月 20日 星期三 11:55:26 CST
1,8,4K,bfq,bfq,3,3.241GB/s,46.42,275,0.10,0.13,2026年 05月 20日 星期三 11:56:08 CST
1,8,4K,duet_same,duet_same(2097152),3,3.266GB/s,45.90,275,0.10,0.13,2026年 05月 20日 星期三 11:56:59 CST
2,8,16K,none,none,1,5.737GB/s,110.28,273,N/A,N/A,2026年 05月 20日 星期三 11:57:51 CST
2,8,16K,bfq,bfq,1,5.576GB/s,92.41,275,0.45,0.52,2026年 05月 20日 星期三 11:58:33 CST
2,8,16K,duet_same,duet_same(2097152),1,5.573GB/s,92.94,275,0.46,0.52,2026年 05月 20日 星期三 11:59:24 CST
2,8,16K,none,none,2,5.751GB/s,108.23,273,N/A,N/A,2026年 05月 20日 星期三 12:00:11 CST
2,8,16K,bfq,bfq,2,5.582GB/s,92.77,275,0.45,0.52,2026年 05月 20日 星期三 12:00:53 CST
2,8,16K,duet_same,duet_same(2097152),2,5.555GB/s,91.95,275,0.45,0.52,2026年 05月 20日 星期三 12:01:44 CST
2,8,16K,none,none,3,5.749GB/s,107.96,274,N/A,N/A,2026年 05月 20日 星期三 12:02:31 CST
2,8,16K,bfq,bfq,3,5.570GB/s,92.83,275,0.45,0.52,2026年 05月 20日 星期三 12:03:13 CST
2,8,16K,duet_same,duet_same(2097152),3,5.563GB/s,93.71,275,0.45,0.52,2026年 05月 20日 星期三 12:04:04 CST
3,8,64K,none,none,1,7.524GB/s,296.60,271,N/A,N/A,2026年 05月 20日 星期三 12:04:56 CST
3,8,64K,bfq,bfq,1,7.156GB/s,287.45,271,1.95,2.10,2026年 05月 20日 星期三 12:05:38 CST
3,8,64K,duet_same,duet_same(2097152),1,7.153GB/s,286.02,271,1.90,2.10,2026年 05月 20日 星期三 12:06:29 CST
3,8,64K,none,none,2,7.525GB/s,279.81,271,N/A,N/A,2026年 05月 20日 星期三 12:07:15 CST
3,8,64K,bfq,bfq,2,7.157GB/s,285.88,271,1.90,2.10,2026年 05月 20日 星期三 12:07:57 CST
3,8,64K,duet_same,duet_same(2097152),2,7.153GB/s,286.94,271,1.96,2.10,2026年 05月 20日 星期三 12:08:48 CST
3,8,64K,none,none,3,7.525GB/s,294.32,271,N/A,N/A,2026年 05月 20日 星期三 12:09:35 CST
3,8,64K,bfq,bfq,3,7.150GB/s,286.77,271,1.90,2.10,2026年 05月 20日 星期三 12:10:17 CST
3,8,64K,duet_same,duet_same(2097152),3,7.156GB/s,285.75,271,1.90,2.10,2026年 05月 20日 星期三 12:11:08 CST
4,8,256K,none,none,1,7.531GB/s,1099.44,266,N/A,N/A,2026年 05月 20日 星期三 12:12:00 CST
4,8,256K,bfq,bfq,1,7.265GB/s,1095.70,266,7.13,8.39,2026年 05月 20日 星期三 12:12:42 CST
4,8,256K,duet_same,duet_same(2097152),1,7.261GB/s,333.68,271,1.98,2.23,2026年 05月 20日 星期三 12:13:33 CST
4,8,256K,none,none,2,7.530GB/s,1103.45,266,N/A,N/A,2026年 05月 20日 星期三 12:14:20 CST
4,8,256K,bfq,bfq,2,7.238GB/s,1098.19,266,7.33,8.39,2026年 05月 20日 星期三 12:15:02 CST
4,8,256K,duet_same,duet_same(2097152),2,7.269GB/s,305.67,271,1.94,2.23,2026年 05月 20日 星期三 12:15:53 CST
4,8,256K,none,none,3,7.531GB/s,1099.86,266,N/A,N/A,2026年 05月 20日 星期三 12:16:40 CST
4,8,256K,bfq,bfq,3,7.246GB/s,1096.78,266,7.33,8.39,2026年 05月 20日 星期三 12:17:22 CST
4,8,256K,duet_same,duet_same(2097152),3,7.264GB/s,315.16,270,2.00,2.23,2026年 05月 20日 星期三 12:18:13 CST
5,8,1M,none,none,1,7.531GB/s,3901.82,266,N/A,N/A,2026年 05月 20日 星期三 12:19:05 CST
5,8,1M,bfq,bfq,1,7.311GB/s,3843.80,266,28.03,33.03,2026年 05月 20日 星期三 12:19:47 CST
5,8,1M,duet_same,duet_same(2097152),1,7.264GB/s,268.87,271,1.60,2.23,2026年 05月 20日 星期三 12:20:38 CST
5,8,1M,none,none,2,7.532GB/s,3832.04,266,N/A,N/A,2026年 05月 20日 星期三 12:21:25 CST
5,8,1M,bfq,bfq,2,7.309GB/s,3860.87,266,29.33,33.42,2026年 05月 20日 星期三 12:22:07 CST
5,8,1M,duet_same,duet_same(2097152),2,7.161GB/s,298.18,271,1.59,2.23,2026年 05月 20日 星期三 12:22:58 CST
5,8,1M,none,none,3,7.531GB/s,3869.49,266,N/A,N/A,2026年 05月 20日 星期三 12:23:45 CST
5,8,1M,bfq,bfq,3,7.311GB/s,3871.74,266,26.38,33.03,2026年 05月 20日 星期三 12:24:27 CST
5,8,1M,duet_same,duet_same(2097152),3,7.288GB/s,257.12,271,1.59,2.23,2026年 05月 20日 星期三 12:25:18 CST
6,8,4M,none,none,1,7.531GB/s,8057.73,265,N/A,N/A,2026年 05月 20日 星期三 12:26:10 CST
6,8,4M,bfq,bfq,1,7.313GB/s,3733.40,266,27.74,34.75,2026年 05月 20日 星期三 12:26:52 CST
6,8,4M,duet_same,duet_same(2097152),1,6.998GB/s,276.41,271,1.23,2.23,2026年 05月 20日 星期三 12:27:43 CST
6,8,4M,none,none,2,7.532GB/s,11134.62,265,N/A,N/A,2026年 05月 20日 星期三 12:28:30 CST
6,8,4M,bfq,bfq,2,7.320GB/s,3731.00,266,28.40,35.53,2026年 05月 20日 星期三 12:29:12 CST
6,8,4M,duet_same,duet_same(2097152),2,6.989GB/s,300.32,271,1.29,2.23,2026年 05月 20日 星期三 12:30:03 CST
6,8,4M,none,none,3,7.531GB/s,8869.91,265,N/A,N/A,2026年 05月 20日 星期三 12:30:50 CST
6,8,4M,bfq,bfq,3,7.315GB/s,3711.28,266,27.93,34.23,2026年 05月 20日 星期三 12:31:32 CST
6,8,4M,duet_same,duet_same(2097152),3,6.966GB/s,277.53,271,1.51,2.23,2026年 05月 20日 星期三 12:32:23 CST
