run	task_clock_ms	context_switches	avg_cs_ns	bench_total_sec
1	22342.020000	1318392	16946.417	0.792000
2	22542.730000	1263072	17847.542	0.855000
3	23047.470000	1522145	15141.442	0.859000
4	21809.580000	1428161	15271.093	0.821000
5	22036.480000	1316396	16740.008	0.828000
6	22060.840000	1441651	15302.483	0.842000
7	22058.130000	1510213	14605.973	0.895000
8	23512.350000	1553796	15132.199	0.914000
9	22423.210000	1002049	22377.359	0.804000
10	23113.460000	1266041	18256.486	0.847000
11	21528.950000	1295040	16624.158	0.789000
12	21811.700000	1344515	16222.727	0.882000
13	21546.900000	1334677	16143.906	0.825000
14	21796.970000	1272329	17131.552	0.762000
15	22865.620000	1444427	15830.236	0.891000
16	22979.270000	1367335	16805.882	0.849000
17	22888.580000	1164927	19648.081	0.833000
18	22543.300000	1484319	15187.638	0.860000
19	22451.910000	1273536	17629.584	0.784000
20	22513.070000	1508645	14922.709	0.813000
