run	task_clock_ms	context_switches	avg_cs_ns	bench_total_sec
1	61662.610000	1704996	36165.839	2.270000
2	63013.200000	1540364	40907.993	2.477000
3	64619.510000	1851630	34898.716	2.405000
4	62921.910000	2106983	29863.511	2.593000
5	62303.220000	1981693	31439.390	2.435000
6	61592.580000	2025651	30406.314	2.540000
7	62206.930000	1782570	34897.328	2.522000
8	66575.540000	2242138	29692.882	2.699000
9	67313.620000	2512483	26791.672	2.708000
10	62707.330000	1500224	41798.645	2.596000
11	60477.260000	1674376	36119.283	2.511000
12	63926.390000	1481785	43141.475	2.937000
13	62420.730000	1873120	33324.469	2.365000
14	64539.080000	1990947	32416.272	2.522000
15	68267.800000	2958066	23078.525	2.778000
16	62750.290000	1449395	43294.126	2.482000
17	62476.710000	1519817	41108.048	2.861000
18	65228.860000	1818402	35871.529	2.758000
19	64239.840000	1591108	40374.280	2.698000
20	60334.490000	2130002	28326.025	2.692000
