phase	t_rel_s	n_reps	fio_mean_MB_s	mal_mean_MB_s	mal_is_sparse_avg
G1_no_mechanism	0.0	3	nan	nan	False
G1_no_mechanism	0.2	3	nan	nan	False
G1_no_mechanism	0.4	3	nan	nan	False
G1_no_mechanism	0.6	3	nan	nan	False
G1_no_mechanism	0.8	3	nan	nan	False
G1_no_mechanism	1.0	3	nan	nan	False
G1_no_mechanism	1.2	3	nan	nan	False
G1_no_mechanism	1.4	3	nan	nan	False
G1_no_mechanism	1.6	3	nan	nan	False
G1_no_mechanism	1.8	3	nan	nan	False
G1_no_mechanism	2.0	3	nan	nan	False
G1_no_mechanism	2.2	3	nan	5662.252195530215	False
G1_no_mechanism	2.4	3	nan	5506.771626666982	False
G1_no_mechanism	2.6	3	nan	4650.434559996775	False
G1_no_mechanism	2.8	3	nan	4669.65845333758	False
G1_no_mechanism	3.0	3	nan	5361.718613335499	False
G1_no_mechanism	3.2	3	nan	4293.918719994313	False
G1_no_mechanism	3.4	3	nan	4416.252586666812	False
G1_no_mechanism	3.6	3	5407.110919750365	4902.092799997755	False
G1_no_mechanism	3.8	3	7132.423501617924	4844.421120004406	False
G1_no_mechanism	4.0	3	7809.243469863879	4951.026346666565	False
G1_no_mechanism	4.2	3	7334.628787419003	5048.893439997916	False
G1_no_mechanism	4.4	3	6924.6702187762385	6319.418026667571	False
G1_no_mechanism	4.6	3	6582.019391214034	6188.346026662857	False
G1_no_mechanism	4.8	3	6995.325673153144	6195.3365333389675	False
G1_no_mechanism	5.0	3	7240.89284014405	4631.210666666694	False
G1_no_mechanism	5.2	3	7291.885474395694	5218.413226662981	False
G1_no_mechanism	5.4	3	7355.670782296625	5494.538240001301	False
G1_no_mechanism	5.6	3	7393.19406425033	5377.447253329816	False
G1_no_mechanism	5.8	3	7581.733847227956	6263.49397333903	False
G1_no_mechanism	6.0	3	7533.355804368867	5576.676693333665	False
G1_no_mechanism	6.2	3	7901.6650381795835	4192.556373331274	False
G1_no_mechanism	6.4	3	8355.593335367521	4440.719359999254	False
G1_no_mechanism	6.6	3	8005.338896729176	4783.25418666301	False
G1_no_mechanism	6.8	3	6906.210967668293	5968.145066672095	False
G1_no_mechanism	7.0	3	6797.796586240448	6137.66485333439	False
G1_no_mechanism	7.2	3	7044.016648492226	5950.668799996321	False
G1_no_mechanism	7.4	3	7343.126183500429	5651.824640001552	False
G1_no_mechanism	7.6	3	7199.006029504283	5795.130026662424	False
G1_no_mechanism	7.8	3	6855.122116432732	6446.994773339196	False
G1_no_mechanism	8.0	3	7361.5438558006745	5747.944106668309	False
G1_no_mechanism	8.2	3	8133.897527906095	4031.7747199980363	False
G1_no_mechanism	8.4	3	8660.660489850963	5302.2993066673125	False
G1_no_mechanism	8.6	3	7336.653592591862	6368.351573329426	False
G1_no_mechanism	8.8	3	6945.813817666021	5793.382400005269	False
G1_no_mechanism	9.0	3	7318.207832033887	6347.380053334317	False
G1_no_mechanism	9.2	3	8477.748175083028	3600.1109333316404	False
G1_no_mechanism	9.4	3	8622.854648981334	5036.660053334755	False
G1_no_mechanism	9.6	3	7599.307586864133	5220.160853331047	False
G1_no_mechanism	9.8	3	7654.271851298133	5613.376853338438	False
G1_no_mechanism	10.0	3	8158.070053415217	5069.864960000287	False
G1_no_mechanism	10.2	3	7921.317269610903	4108.670293332055	False
G1_no_mechanism	10.4	3	8121.846075659851	5179.965440001711	False
G1_no_mechanism	10.6	3	7476.706146042928	5913.968639996235	False
G1_no_mechanism	10.8	3	7484.344979718105	5092.584106671298	False
G1_no_mechanism	11.0	3	8178.214209690682	4832.187733335909	False
G1_no_mechanism	11.2	3	7745.05469997217	4715.096746664097	False
G1_no_mechanism	11.4	3	7096.654746399541	5674.5437866674365	False
G1_no_mechanism	11.6	3	6946.725043713188	5749.691733330019	False
G1_no_mechanism	11.8	3	7631.4166198618295	5234.141866671426	False
G1_no_mechanism	12.0	3	7600.78963395481	4543.829333332677	False
G1_no_mechanism	12.2	3	7168.212156013869	5169.479679996512	False
G1_no_mechanism	12.4	3	6856.020719041232	6113.198080000704	False
G1_no_mechanism	12.6	3	7315.448825932937	4854.906879996126	False
G1_no_mechanism	12.8	3	7457.233892192307	4730.825386670969	False
G1_no_mechanism	13.0	3	7049.457643445193	5697.2629333347395	False
G1_no_mechanism	13.2	3	7082.416379127629	5718.234453329665	False
G1_no_mechanism	13.4	3	7216.286979219117	3860.50730666862	False
G1_no_mechanism	13.6	3	7605.45416263357	5356.475733329416	False
G1_no_mechanism	13.8	3	7215.990503226139	4814.711466671045	False
G1_no_mechanism	14.0	3	6587.814192505266	5915.716266667728	False
G1_no_mechanism	14.2	3	7009.218859114841	4729.077759997621	False
G1_no_mechanism	14.4	3	6957.561632918035	5777.65376000119	False
G1_no_mechanism	14.6	3	7267.915598905042	5581.9195733295755	False
G1_no_mechanism	14.8	3	7520.213725374662	4409.26208000401	False
G1_no_mechanism	15.0	3	7389.419055142473	5344.242346667004	False
G1_no_mechanism	15.2	3	6753.547740616746	6027.564373329605	False
G1_no_mechanism	15.4	3	7967.896068736533	3741.6686933351266	False
G1_no_mechanism	15.6	3	7506.951605314665	5452.595199996675	False
G1_no_mechanism	15.8	3	7328.323513624856	4734.3206400043055	False
G1_no_mechanism	16.0	3	8392.514069776755	4779.758933334532	False
G1_no_mechanism	16.2	3	8080.943295378212	4201.294506663343	False
G1_no_mechanism	16.4	3	8060.80859280256	4657.42506666646	False
G1_no_mechanism	16.6	3	7733.388640273261	5440.361813330747	False
G1_no_mechanism	16.8	3	7091.0104193713705	5477.061973338315	False
G1_no_mechanism	17.0	3	8301.779038216038	4949.278720000698	False
G1_no_mechanism	17.2	3	7816.240179189527	3764.3878399959776	False
G1_no_mechanism	17.4	3	7751.294141341262	4438.97173333325	False
G1_no_mechanism	17.6	3	7276.608056947999	6104.459946662754	False
G1_no_mechanism	17.8	3	7517.062041667749	4688.882346670931	False
G1_no_mechanism	18.0	3	7094.193719441048	6116.693333334167	False
G1_no_mechanism	18.2	3	6833.737485389543	5837.07306666282	False
G1_no_mechanism	18.4	3	7366.025747501187	5807.363413333939	False
G1_no_mechanism	18.6	3	7371.768706503665	4771.020799996944	False
G1_no_mechanism	18.8	3	7446.130961860286	4872.383146671098	False
G1_no_mechanism	19.0	3	7197.706931473709	5740.953600001124	False
G1_no_mechanism	19.2	3	7514.039210415881	4874.130773330908	False
G1_no_mechanism	19.4	3	7090.285491457965	5872.0256000006	False
G1_no_mechanism	19.6	3	7495.880738736371	5557.45279999706	False
G1_no_mechanism	19.8	3	7975.240498064908	4355.085653337294	False
G1_no_mechanism	20.0	3	7439.562292191408	5606.386346667533	False
G1_no_mechanism	20.2	3	8383.061917890018	4531.595946664366	False
G1_no_mechanism	20.4	3	7491.41612382975	4496.64341333546	False
G1_no_mechanism	20.6	3	7983.619771918504	5735.7107199963675	False
G1_no_mechanism	20.8	3	7820.690884234347	4351.590400003958	False
G1_no_mechanism	21.0	3	8143.449308138087	4783.254186668017	False
G1_no_mechanism	21.2	3	7838.024935863389	4222.266026665504	False
G1_no_mechanism	21.4	3	7455.458037391891	5325.0184533338015	False
G1_no_mechanism	21.6	3	7462.105979490479	5618.619733330488	False
G1_no_mechanism	21.8	3	7506.320897436971	5594.152960005088	False
G1_no_mechanism	22.0	3	7671.504064967227	5333.756586667631	False
G1_no_mechanism	22.2	3	8226.556197049258	4641.696426662488	False
G1_no_mechanism	22.4	3	8017.393173998281	4856.654506668505	False
G1_no_mechanism	22.6	3	7640.575940993439	4722.087253330511	False
G1_no_mechanism	22.8	3	7732.002526278228	5639.591253338463	False
G1_no_mechanism	23.0	3	7383.341732179716	5111.808000000091	False
G1_no_mechanism	23.2	3	7322.803905074463	5520.752639996887	False
G1_no_mechanism	23.4	3	7189.432308843373	5992.61184000123	False
G1_no_mechanism	23.6	3	7021.551364559001	5938.435413329789	False
G1_no_mechanism	23.8	3	7258.915221272121	6225.046186672327	False
G1_no_mechanism	24.0	3	7435.619349457494	4833.935360002469	False
G1_no_mechanism	24.2	3	7056.76502472669	5770.663253329894	False
G1_no_mechanism	24.4	3	6784.046540828121	6263.493973334131	False
G1_no_mechanism	24.6	3	7432.974025153136	5630.853119996121	False
G1_no_mechanism	24.8	3	8402.800906251568	4283.4329600038955	False
G1_no_mechanism	25.0	3	8379.630823222122	4386.542933336619	False
G1_no_mechanism	25.2	3	7579.998850589272	5609.881599995863	False
G1_no_mechanism	25.4	3	7087.546242457225	5938.435413334423	False
G1_no_mechanism	25.6	3	7132.250772615487	6225.046186662759	False
G1_no_mechanism	25.8	3	7137.857975733293	5265.599146671456	False
G1_no_mechanism	26.0	3	7403.399786937069	5519.005013335246	False
G1_no_mechanism	26.2	3	7414.193756547299	5373.951999996069	False
G1_no_mechanism	26.4	3	7399.641631892126	5491.0429866670065	False
G1_no_mechanism	26.6	3	7023.966196079359	6191.841279996107	False
G1_no_mechanism	26.8	3	6994.744417739642	6066.012160005516	False
