t_boot_s	cum_ios	cum_bytes	cum_lat_ns
3341.986395	0	0	0
3342.186509	1040	1090519040	4214833093
3342.386509	2124	2227175424	8451821626
3342.586509	3046	3193962496	12197200350
3342.786509	3934	4125097984	16558813712
3342.986509	5126	5375000576	20921836306
3343.186509	6356	6664749056	25315003877
3343.386509	7031	7372537856	30023483132
3343.586509	7587	7955546112	34104255249
3343.786509	8380	8787066880	38091799633
3343.986509	9580	10045358080	42434802722
3344.186509	10598	11112808448	46661199119
3344.386509	11778	12350128128	50795187148
3344.586509	13027	13659799552	55262859734
3344.786509	14218	14908653568	59459313865
3344.986509	15365	16111370240	63766554669
3345.186509	16475	17275289600	68122031740
3345.386509	17761	18623758336	72456088781
3345.586509	18691	19598934016	76602488973
3345.786509	19888	20854079488	80651216668
3345.986509	21090	22114467840	84851518890
3346.186509	22010	23079157760	88764297450
3346.386509	22615	23713546240	92628249819
3346.586509	23618	24765267968	96917081587
3346.786509	24825	26030899200	101231656272
3346.986509	26011	27274510336	105524601498
3347.186509	27152	28470935552	109811244375
3347.386509	28321	29696720896	114077929506
3347.586509	29531	30965497856	118363586539
3347.786509	30775	32269926400	122699461524
3347.986509	31992	33546043392	126992821846
3348.186509	32497	34075574272	128778062383
3348.386509	33704	35341205504	134900057853
3348.586509	34941	36638294016	139227860941
3348.786509	35916	37660655616	143515284044
3348.986509	37121	38924189696	147853985328
3349.186509	37809	39645609984	152249390894
3349.386509	38886	40774926336	156486964722
3349.586509	39993	41935699968	160792861361
3349.786509	41008	43000004608	164950234441
3349.986509	42154	44201672704	169303807412
3350.186509	42889	44972376064	173861243860
3350.386509	43923	46056603648	178042950076
3350.586509	45120	47311749120	182092555863
3350.786509	45852	48079306752	184666745767
3350.986509	46959	49240080384	190164190097
3351.186509	47824	50147098624	194172873466
3351.386509	48959	51337232384	198395691929
3351.586509	49997	52425654272	202725978278
3351.786509	51074	53554970624	207048915341
3351.986509	51971	54495543296	211104756645
3352.186509	53178	55761174528	215257666489
3352.386509	54300	56937676800	219486264505
3352.586509	55271	57955844096	223533161717
3352.786509	56459	59201552384	227687230666
3352.986509	57605	60403220480	232002032846
3353.186509	58720	61572382720	236156907617
3353.386509	59351	62234034176	239366728172
3353.586509	60354	63285755904	244587366073
3353.786509	61180	64151879680	248838904130
3353.986509	62349	65377665024	253024077167
3354.186509	63044	66106425344	257283187967
3354.386509	64196	67314384896	261449447722
3354.586509	65296	68467818496	265732003524
3354.786509	66443	69670535168	269782590873
3354.986509	67338	70609010688	273680784368
3355.186509	68444	71768735744	277810979135
3355.386509	69445	72818360320	282206964759
3355.586509	70488	73912025088	286557303302
3355.786509	71250	74711040000	289632710661
3355.986509	72266	75776393216	294787739954
3356.186509	73110	76661391360	299360751232
3356.386509	73582	77156319232	302390309706
3356.586509	74735	78365327360	307731331474
3356.786509	75796	79477866496	311679799178
3356.986509	76551	80269541376	317179923653
3357.186509	77726	81501618176	321534195726
3357.386509	78061	81852891136	325881684335
3357.586509	79284	83135299584	330040704540
3357.786509	80075	83964723200	334190027470
3357.986509	81223	85168488448	338597988945
3358.186509	82413	86416293888	342914118724
3358.386509	83489	87544561664	347240974252
