t_boot_s	cum_ios	cum_bytes	cum_lat_ns
3501.003276	0	0	0
3501.203399	880	922746880	3835938232
3501.403399	1800	1887436800	8003938231
3501.603399	2514	2636120064	11880140157
3501.803399	3668	3846176768	16108738485
3502.003399	4568	4789895168	19420568304
3502.203399	6936	7272923136	25177785786
3502.403399	9462	9921626112	29422388342
3502.603399	12035	12619612160	33588260161
3502.803399	14459	15161360384	37947398611
3503.003399	16759	17573085184	42445561237
3503.203399	19350	20289945600	46935444522
3503.403399	21855	22916628480	51344858167
3503.603399	24288	25467813888	55751840535
3503.803399	26862	28166848512	60014113232
3504.003399	29352	30777802752	64135352727
3504.203399	31831	33377222656	68607602120
3504.403399	34444	36117151744	73095740684
3504.603399	37056	38856032256	77572817406
3504.803399	39704	41632661504	82184505232
3505.003399	42296	44350570496	86656822333
3505.203399	44909	47090499584	90888304931
3505.403399	47483	49789534208	95234393184
3505.603399	50081	52513734656	99784846855
3505.803399	52770	55333355520	104256273262
3506.003399	55428	58120470528	108766384394
3506.203399	57978	60794339328	113023673253
3506.403399	60562	63503859712	117293877639
3506.603399	62580	65619886080	121755045314
3506.803399	65135	68298997760	126043918972
3507.003399	67624	70908903424	130384522534
3507.203399	70205	73615278080	134627856159
3507.403399	72820	76357304320	138868620192
3507.603399	75400	79062630400	143105307324
3507.803399	77956	81742790656	147423180656
3508.003399	80416	84322287616	151826462656
3508.203399	83005	87037050880	156195388151
3508.403399	85595	89752862720	160533981983
3508.603399	88149	92430925824	164763035734
3508.803399	90760	95168757760	169025700385
3509.003399	93230	97758740480	173521547974
3509.203399	95430	100065607680	177592022499
3509.403399	97600	102341017600	182027937254
3509.603399	100182	105048440832	186432631924
3509.803399	102831	107826118656	190681230334
3510.003399	105450	110572339200	195128883245
3510.203399	108047	113295491072	199561382118
3510.403399	110618	115991379968	203885334962
3510.603399	113231	118731309056	208437192839
3510.803399	115745	121367429120	212939953973
3511.003399	118311	124058075136	217240584954
3511.203399	120970	126846238720	221808942267
3511.403399	123532	129532690432	226081900694
3511.603399	125912	132028301312	230424766931
3511.803399	128562	134807027712	234898552964
3512.003399	131187	137559539712	239441938731
3512.203399	133805	140304711680	243868808634
