t_boot_s	cum_ios	cum_bytes	cum_lat_ns
3540.851195	0	0	0
3541.051309	1672	1753219072	4182185778
3541.251309	2760	2894069760	8612985345
3541.451309	3631	3807379456	12739131944
3541.651309	4663	4889509888	17342104024
3541.851309	5711	5988417536	21599012515
3542.051309	8088	8480882688	25853958642
3542.251309	10682	11200888832	30257599062
3542.451309	13203	13844348928	34737210930
3542.651309	15474	16225665024	39201688239
3542.851309	17852	18719178752	43504029620
3543.051309	20074	21049114624	47554188388
3543.251309	22211	23289921536	51512722697
3543.451309	23975	25139609600	55548064670
3543.651309	25215	26439843840	59873505760
3543.851309	26393	27675066368	64151096805
3544.051309	27150	28468838400	68150568228
3544.251309	27710	29056040960	72481994132
3544.451309	28706	30100422656	76867601350
3544.651309	29543	30978080768	80900796820
3544.851309	30727	32219594752	85153377208
3545.051309	31908	33457963008	89226581802
3545.251309	33133	34742468608	93493927808
3545.451309	34391	36061577216	97615714817
3545.651309	35423	37143707648	101792207086
3545.851309	36620	38398853120	105930670054
3546.051309	37752	39585841152	110233616951
3546.251309	38419	40285241344	114358980053
3546.451309	39279	41187016704	118577476596
3546.651309	40407	42369810432	122783628680
3546.851309	41544	43562041344	127188292289
3547.051309	42673	44745883648	131543236184
3547.251309	43765	45890928640	135782565452
3547.451309	44990	47175434240	140030869915
3547.651309	46223	48468328448	144448662801
3547.851309	47301	49598693376	148680531105
3548.051309	48450	50803507200	152878990740
3548.251309	49494	51898220544	157169890185
3548.451309	50505	52958330880	161308609433
3548.651309	51308	53800337408	165661751558
3548.851309	52481	55030317056	169835090608
3549.051309	53686	56293851136	173943414753
3549.251309	54649	57303629824	178546787475
3549.451309	55859	58572406784	182853998561
3549.651309	56970	59737374720	186987691683
3549.851309	57752	60557361152	190762689302
3550.051309	58372	61207478272	194982982035
3550.251309	59546	62438506496	199298653099
3550.451309	60443	63379079168	203656202711
3550.651309	61358	64338526208	207724876357
3550.851309	62213	65235058688	211970063758
3551.051309	63399	66478669824	216094126106
3551.251309	64531	67665657856	220339606673
3551.451309	65277	68447895552	224458633703
3551.651309	65979	69183995904	227155908867
3551.851309	66894	70143442944	232825911478
3552.051309	68042	71347208192	237160673247
3552.251309	69044	72397881344	241489082233
3552.451309	69508	72884420608	245434363787
3552.651309	70662	74094477312	249558606205
3552.851309	71387	74854694912	253304811153
3553.051309	72362	75877056512	258383217414
3553.251309	73338	76900466688	262699901391
3553.451309	74422	78037123072	266958338189
3553.651309	75290	78947287040	271048494326
3553.851309	75989	79680241664	275415371126
3554.051309	76857	80590405632	279241208138
3554.251309	77654	81426120704	284022525523
3554.451309	78743	82568019968	288221186811
3554.651309	79911	83792756736	292633132108
3554.851309	80881	84809875456	296348579649
3555.051309	81008	84943044608	300305795888
3555.251309	81983	85965406208	305728657839
3555.451309	83104	87140859904	310023477037
3555.651309	84205	88295342080	314385628581
3555.851309	85319	89463455744	318695174935
3556.051309	86375	90570752000	323075023453
3556.251309	87457	91705311232	327495017890
3556.451309	88613	92917465088	331626506504
3556.651309	89698	94055170048	335889846568
3556.851309	90619	95020908544	340189925489
3557.051309	91801	96260325376	344369573662
3557.251309	92902	97414807552	348658936561
3557.451309	93856	98415149056	352878195597
3557.651309	95059	99676585984	357237252510
3557.851309	96217	100890836992	361542488299
3558.051309	97049	101763252224	365369211624
3558.251309	98201	102971211776	369961532241
3558.451309	98954	103760789504	373904346167
3558.651309	99742	104587067392	377923618857
3558.851309	100959	105863184384	382155279137
3559.051309	102126	107086872576	386484320056
3559.251309	103270	108286443520	390997976902
3559.451309	104300	109366476800	394844450010
3559.651309	104890	109985136640	398219008277
3559.851309	105600	110729625600	403103974095
3560.051309	106720	111904030720	407349740930
3560.251309	107933	113175953408	411586129077
3560.451309	109045	114341969920	415979807547
3560.651309	110188	115540492288	420287920268
3560.851309	111227	116629962752	424678059737
3561.051309	112068	117511815168	428767300154
3561.251309	112811	118290907136	431457759761
3561.451309	113348	118853992448	438126411790
3561.651309	113827	119356260352	441098641427
3561.851309	114425	119983308800	445464738272
3562.051309	115189	120784420864	449897924218
3562.251309	116074	121712410624	453629839606
3562.451309	116827	122501988352	458387398042
3562.651309	118030	123763425280	462606978029
3562.851309	118956	124734406656	467021287469
3563.051309	120073	125905666048	471262079445
3563.251309	121299	127191220224	475345127119
3563.451309	122481	128430637056	479631155142
3563.651309	123558	129559953408	483342278804
3563.851309	124588	130639986688	488275453697
3564.051309	125694	131799711744	492436548998
3564.251309	126388	132527423488	495860467495
3564.451309	127042	133213192192	500806960806
3564.651309	127768	133974458368	504753966319
3564.851309	128722	134974799872	508792235880
3565.051309	129594	135889158144	512950745064
3565.251309	129914	136224702464	515049104207
3565.451309	130750	137101312000	519606861684
3565.651309	131314	137692708864	524300806329
3565.851309	132391	138822025216	528378784655
3566.051309	133256	139729043456	532814766727
3566.251309	134442	140972654592	537258297527
3566.451309	135543	142127136768	541554778016
3566.651309	136717	143358164992	545943481492
3566.851309	137845	144540958720	550261232807
3567.051309	138903	145650352128	554200089400
3567.251309	139928	146725142528	558754874753
3567.451309	141103	147957219328	562942881188
3567.651309	141983	148879966208	567135198956
3567.851309	143198	150153986048	571505759569
3568.051309	144240	151246602240	575838586756
3568.251309	145227	152281546752	580126434939
3568.451309	146373	153483214848	584435811404
3568.651309	147477	154640842752	588742518479
3568.851309	148610	155828879360	593219792440
3569.051309	149469	156729606144	597497242226
3569.251309	150541	157853679616	601695657992
3569.451309	151756	159127699456	605844026388
3569.651309	152520	159928811520	608604918135
3569.851309	153439	160892452864	615163799540
3570.051309	154618	162128723968	619611573311
3570.251309	155821	163390160896	623939529176
3570.451309	157009	164635869184	628216274199
3570.651309	158212	165897306112	632671805204
3570.851309	159382	167124140032	636966501501
3571.051309	160204	167986069504	641202819699
3571.251309	160997	168817590272	645468792513
3571.451309	162142	170018209792	649852021573
3571.651309	163332	171266015232	654170723805
3571.851309	163813	171770380288	658902497159
3572.051309	164989	173003505664	663294174945
3572.251309	166549	174639284224	668228487899
3572.451309	166582	174673887232	668312340297
3572.451406	166582	174673887232	668312340297
