target_procs	actual_procs	rep	run_dir	phase	override_peak	override_ok	fn_calls	work_us_mean	work_us_median	work_us_max	work_total_ms	bench_sec
10000	10000	1	/home/str508/duet-6.14.6/test-1/results_ioprio_hotpath_sweep_20260528_211159/by_target/target_10000/rep_01	monitor_off	8341	1	0	nan	nan	nan	nan	0.523
10000	10000	1	/home/str508/duet-6.14.6/test-1/results_ioprio_hotpath_sweep_20260528_211159/by_target/target_10000/rep_01	monitor_on	8556	0	2	645.231	645.231	1288.402	1.290462	0.531
20000	20000	1	/home/str508/duet-6.14.6/test-1/results_ioprio_hotpath_sweep_20260528_211159/by_target/target_20000/rep_01	monitor_off	16286	1	0	nan	nan	nan	nan	0.788
20000	20000	1	/home/str508/duet-6.14.6/test-1/results_ioprio_hotpath_sweep_20260528_211159/by_target/target_20000/rep_01	monitor_on	15996	0	10	1374.2455	1347.3915000000002	2698.873	13.742455	0.757
40000	40000	1	/home/str508/duet-6.14.6/test-1/results_ioprio_hotpath_sweep_20260528_211159/by_target/target_40000/rep_01	monitor_off	33231	1	0	nan	nan	nan	nan	1.310
40000	40000	1	/home/str508/duet-6.14.6/test-1/results_ioprio_hotpath_sweep_20260528_211159/by_target/target_40000/rep_01	monitor_on	34652	1	23	3237.9209130434783	3264.273	6345.416	74.47218099999999	1.326
60000	60000	1	/home/str508/duet-6.14.6/test-1/results_ioprio_hotpath_sweep_20260528_211159/by_target/target_60000/rep_01	monitor_off	51872	1	0	nan	nan	nan	nan	1.983
60000	60000	1	/home/str508/duet-6.14.6/test-1/results_ioprio_hotpath_sweep_20260528_211159/by_target/target_60000/rep_01	monitor_on	48764	1	32	5708.7633749999995	4656.354	45706.74	182.68042799999998	1.794
80000	80000	1	/home/str508/duet-6.14.6/test-1/results_ioprio_hotpath_sweep_20260528_211159/by_target/target_80000/rep_01	monitor_off	70523	1	0	nan	nan	nan	nan	2.525
80000	80000	1	/home/str508/duet-6.14.6/test-1/results_ioprio_hotpath_sweep_20260528_211159/by_target/target_80000/rep_01	monitor_on	65152	1	43	5900.196906976744	5652.356	17634.84	253.708467	2.566
100000	100000	1	/home/str508/duet-6.14.6/test-1/results_ioprio_hotpath_sweep_20260528_211159/by_target/target_100000/rep_01	monitor_off	87965	1	0	nan	nan	nan	nan	2.795
100000	100000	1	/home/str508/duet-6.14.6/test-1/results_ioprio_hotpath_sweep_20260528_211159/by_target/target_100000/rep_01	monitor_on	86224	1	57	7422.922157894737	7276.627	23645.93	423.10656300000005	4.242
10000	10000	2	/home/str508/duet-6.14.6/test-1/results_ioprio_hotpath_sweep_20260528_211159/by_target/target_10000/rep_02	monitor_off	8743	1	0	nan	nan	nan	nan	0.521
10000	10000	2	/home/str508/duet-6.14.6/test-1/results_ioprio_hotpath_sweep_20260528_211159/by_target/target_10000/rep_02	monitor_on	8575	0	3	691.367	786.55	1285.521	2.074101	0.572
20000	20000	2	/home/str508/duet-6.14.6/test-1/results_ioprio_hotpath_sweep_20260528_211159/by_target/target_20000/rep_02	monitor_off	17098	1	0	nan	nan	nan	nan	0.796
20000	20000	2	/home/str508/duet-6.14.6/test-1/results_ioprio_hotpath_sweep_20260528_211159/by_target/target_20000/rep_02	monitor_on	16333	0	11	1613.1026363636363	1605.832	3530.033	17.744129	0.868
40000	40000	2	/home/str508/duet-6.14.6/test-1/results_ioprio_hotpath_sweep_20260528_211159/by_target/target_40000/rep_02	monitor_off	35073	1	0	nan	nan	nan	nan	1.274
40000	40000	2	/home/str508/duet-6.14.6/test-1/results_ioprio_hotpath_sweep_20260528_211159/by_target/target_40000/rep_02	monitor_on	32714	1	20	3021.17875	2953.3225	7463.957	60.42357500000001	1.337
60000	60000	2	/home/str508/duet-6.14.6/test-1/results_ioprio_hotpath_sweep_20260528_211159/by_target/target_60000/rep_02	monitor_off	51698	1	0	nan	nan	nan	nan	1.985
60000	60000	2	/home/str508/duet-6.14.6/test-1/results_ioprio_hotpath_sweep_20260528_211159/by_target/target_60000/rep_02	monitor_on	50726	1	33	4259.864909090909	4152.404	9948.799	140.575542	1.785
80000	80000	2	/home/str508/duet-6.14.6/test-1/results_ioprio_hotpath_sweep_20260528_211159/by_target/target_80000/rep_02	monitor_off	71003	1	0	nan	nan	nan	nan	2.512
80000	80000	2	/home/str508/duet-6.14.6/test-1/results_ioprio_hotpath_sweep_20260528_211159/by_target/target_80000/rep_02	monitor_on	67071	1	45	6038.075711111112	5959.936	17578.79	271.713407	2.516
100000	100000	2	/home/str508/duet-6.14.6/test-1/results_ioprio_hotpath_sweep_20260528_211159/by_target/target_100000/rep_02	monitor_off	87807	1	0	nan	nan	nan	nan	2.850
100000	100000	2	/home/str508/duet-6.14.6/test-1/results_ioprio_hotpath_sweep_20260528_211159/by_target/target_100000/rep_02	monitor_on	88176	1	56	7416.952839285714	6718.406	33257.38	415.349359	2.713
10000	10000	3	/home/str508/duet-6.14.6/test-1/results_ioprio_hotpath_sweep_20260528_211159/by_target/target_10000/rep_03	monitor_off	8167	1	0	nan	nan	nan	nan	0.465
10000	10000	3	/home/str508/duet-6.14.6/test-1/results_ioprio_hotpath_sweep_20260528_211159/by_target/target_10000/rep_03	monitor_on	8605	0	5	838.2646	1126.441	1325.551	4.191323000000001	0.515
20000	20000	3	/home/str508/duet-6.14.6/test-1/results_ioprio_hotpath_sweep_20260528_211159/by_target/target_20000/rep_03	monitor_off	16317	1	0	nan	nan	nan	nan	0.764
20000	20000	3	/home/str508/duet-6.14.6/test-1/results_ioprio_hotpath_sweep_20260528_211159/by_target/target_20000/rep_03	monitor_on	17539	0	9	1902.5772222222222	1807.352	3449.353	17.123195	0.772
40000	40000	3	/home/str508/duet-6.14.6/test-1/results_ioprio_hotpath_sweep_20260528_211159/by_target/target_40000/rep_03	monitor_off	34932	1	0	nan	nan	nan	nan	1.375
40000	40000	3	/home/str508/duet-6.14.6/test-1/results_ioprio_hotpath_sweep_20260528_211159/by_target/target_40000/rep_03	monitor_on	35592	1	21	3219.8949523809524	3216.253	6365.836	67.61779399999999	1.342
60000	60000	3	/home/str508/duet-6.14.6/test-1/results_ioprio_hotpath_sweep_20260528_211159/by_target/target_60000/rep_03	monitor_off	47959	1	0	nan	nan	nan	nan	1.996
60000	60000	3	/home/str508/duet-6.14.6/test-1/results_ioprio_hotpath_sweep_20260528_211159/by_target/target_60000/rep_03	monitor_on	48505	1	33	4512.662666666667	4561.214	8399.978	148.917868	1.829
80000	80000	3	/home/str508/duet-6.14.6/test-1/results_ioprio_hotpath_sweep_20260528_211159/by_target/target_80000/rep_03	monitor_off	70981	1	0	nan	nan	nan	nan	2.920
80000	80000	3	/home/str508/duet-6.14.6/test-1/results_ioprio_hotpath_sweep_20260528_211159/by_target/target_80000/rep_03	monitor_on	70515	1	38	5721.855710526316	5664.0599999999995	16372.96	217.43051699999998	2.523
100000	100000	3	/home/str508/duet-6.14.6/test-1/results_ioprio_hotpath_sweep_20260528_211159/by_target/target_100000/rep_03	monitor_off	87985	1	0	nan	nan	nan	nan	2.764
