bg_count,burst_thinktime,bg_rw,bg_bs,bg_iodepth,burst_rw,burst_bs,burst_iodepth,iteration,scheduler,背景流总带宽KB/s,突发任务带宽KB/s,总体带宽KB/s,背景流总带宽MB/s,突发任务带宽MB/s,总体带宽MB/s,突发任务平均延迟us,突发任务99%延迟us
测试名称,模式,背景流总带宽(KB/s),突发任务带宽(KB/s),总体带宽(KB/s),背景流总带宽(MB/s),突发任务带宽(MB/s),总体带宽(MB/s),突发任务平均延迟(μs),突发任务99%延迟(μs)
burst_bs-4k_burst_iodepth-1_burst_thinktime-100ms_burst_thinktime_blocks-1_bg_bs-4k_bg_iodepth-4_bg_count-2_iter-1,none,373722,39,373761,364,0,365,37,83
burst_bs-4k_burst_iodepth-1_burst_thinktime-100ms_burst_thinktime_blocks-1_bg_bs-4k_bg_iodepth-4_bg_count-2_iter-1,bfq,372519,39,372558,363,0,363,41,80
burst_bs-4k_burst_iodepth-1_burst_thinktime-100ms_burst_thinktime_blocks-1_bg_bs-4k_bg_iodepth-4_bg_count-2_iter-1,bfq_limit,367127,39,367166,358,0,358,55,95
burst_bs-4k_burst_iodepth-1_burst_thinktime-100ms_burst_thinktime_blocks-1_bg_bs-4k_bg_iodepth-4_bg_count-2_iter-2,none,372330,39,372369,363,0,363,49,86
burst_bs-4k_burst_iodepth-1_burst_thinktime-100ms_burst_thinktime_blocks-1_bg_bs-4k_bg_iodepth-4_bg_count-2_iter-2,bfq,378542,39,378581,369,0,369,55,116
burst_bs-4k_burst_iodepth-1_burst_thinktime-100ms_burst_thinktime_blocks-1_bg_bs-4k_bg_iodepth-4_bg_count-2_iter-2,bfq_limit,375238,39,375277,366,0,366,44,101
burst_bs-4k_burst_iodepth-1_burst_thinktime-100ms_burst_thinktime_blocks-1_bg_bs-4k_bg_iodepth-4_bg_count-2_iter-3,none,379814,39,379853,370,0,370,53,102
burst_bs-4k_burst_iodepth-1_burst_thinktime-100ms_burst_thinktime_blocks-1_bg_bs-4k_bg_iodepth-4_bg_count-2_iter-3,bfq,366658,39,366697,358,0,358,61,125
burst_bs-4k_burst_iodepth-1_burst_thinktime-100ms_burst_thinktime_blocks-1_bg_bs-4k_bg_iodepth-4_bg_count-2_iter-3,bfq_limit,367118,39,367157,358,0,358,57,109
测试名称,模式,背景流总带宽(KB/s),突发任务带宽(KB/s),总体带宽(KB/s),背景流总带宽(MB/s),突发任务带宽(MB/s),总体带宽(MB/s),突发任务平均延迟(μs),突发任务99%延迟(μs)
burst_bs-4k_burst_iodepth-1_burst_thinktime-100ms_burst_thinktime_blocks-1_bg_bs-16k_bg_iodepth-4_bg_count-2_iter-1,none,1523539,39,1523578,1487,0,1487,35,124
burst_bs-4k_burst_iodepth-1_burst_thinktime-100ms_burst_thinktime_blocks-1_bg_bs-16k_bg_iodepth-4_bg_count-2_iter-1,bfq,1370285,39,1370324,1338,0,1338,50,89
burst_bs-4k_burst_iodepth-1_burst_thinktime-100ms_burst_thinktime_blocks-1_bg_bs-16k_bg_iodepth-4_bg_count-2_iter-1,bfq_limit,1569122,39,1569161,1532,0,1532,36,86
