bg_count,burst_thinktime,bg_rw,bg_bs,bg_iodepth,burst_rw,burst_bs,burst_iodepth,iteration,scheduler,背景流总带宽KB/s,突发任务带宽KB/s,总体带宽KB/s,背景流总带宽MB/s,突发任务带宽MB/s,总体带宽MB/s,突发任务平均延迟us,突发任务99%延迟us
测试名称,模式,背景流总带宽(KB/s),突发任务带宽(KB/s),总体带宽(KB/s),背景流总带宽(MB/s),突发任务带宽(MB/s),总体带宽(MB/s),突发任务平均延迟(μs),突发任务99%延迟(μs)
burst_bs-4k_burst_iodepth-1_burst_thinktime-100ms_burst_thinktime_blocks-1_bg_bs-4k_bg_iodepth-4_bg_count-2_iter-1,none,356920,39,356959,348,0,348,36,91
burst_bs-4k_burst_iodepth-1_burst_thinktime-100ms_burst_thinktime_blocks-1_bg_bs-4k_bg_iodepth-4_bg_count-2_iter-1,bfq,378217,39,378256,369,0,369,57,90
burst_bs-4k_burst_iodepth-1_burst_thinktime-100ms_burst_thinktime_blocks-1_bg_bs-4k_bg_iodepth-4_bg_count-2_iter-1,bfq_limit,378988,39,379027,370,0,370,38,91
burst_bs-4k_burst_iodepth-1_burst_thinktime-100ms_burst_thinktime_blocks-1_bg_bs-4k_bg_iodepth-4_bg_count-2_iter-2,none,350479,39,350518,342,0,342,31,92
burst_bs-4k_burst_iodepth-1_burst_thinktime-100ms_burst_thinktime_blocks-1_bg_bs-4k_bg_iodepth-4_bg_count-2_iter-2,bfq,374003,39,374042,365,0,365,35,81
burst_bs-4k_burst_iodepth-1_burst_thinktime-100ms_burst_thinktime_blocks-1_bg_bs-4k_bg_iodepth-4_bg_count-2_iter-2,bfq_limit,372038,39,372077,363,0,363,57,96
burst_bs-4k_burst_iodepth-1_burst_thinktime-100ms_burst_thinktime_blocks-1_bg_bs-4k_bg_iodepth-4_bg_count-2_iter-3,none,379873,39,379912,370,0,371,44,100
burst_bs-4k_burst_iodepth-1_burst_thinktime-100ms_burst_thinktime_blocks-1_bg_bs-4k_bg_iodepth-4_bg_count-2_iter-3,bfq,373391,39,373430,364,0,364,49,86
burst_bs-4k_burst_iodepth-1_burst_thinktime-100ms_burst_thinktime_blocks-1_bg_bs-4k_bg_iodepth-4_bg_count-2_iter-3,bfq_limit,384590,39,384629,375,0,375,40,98
测试名称,模式,背景流总带宽(KB/s),突发任务带宽(KB/s),总体带宽(KB/s),背景流总带宽(MB/s),突发任务带宽(MB/s),总体带宽(MB/s),突发任务平均延迟(μs),突发任务99%延迟(μs)
burst_bs-4k_burst_iodepth-1_burst_thinktime-100ms_burst_thinktime_blocks-1_bg_bs-16k_bg_iodepth-4_bg_count-2_iter-1,none,1598349,39,1598388,1560,0,1560,33,97
burst_bs-4k_burst_iodepth-1_burst_thinktime-100ms_burst_thinktime_blocks-1_bg_bs-16k_bg_iodepth-4_bg_count-2_iter-1,bfq,1561792,39,1561831,1525,0,1525,51,103
burst_bs-4k_burst_iodepth-1_burst_thinktime-100ms_burst_thinktime_blocks-1_bg_bs-16k_bg_iodepth-4_bg_count-2_iter-1,bfq_limit,1572212,39,1572251,1535,0,1535,35,76
burst_bs-4k_burst_iodepth-1_burst_thinktime-100ms_burst_thinktime_blocks-1_bg_bs-16k_bg_iodepth-4_bg_count-2_iter-2,none,1559163,39,1559202,1522,0,1522,31,95
burst_bs-4k_burst_iodepth-1_burst_thinktime-100ms_burst_thinktime_blocks-1_bg_bs-16k_bg_iodepth-4_bg_count-2_iter-2,bfq,1557509,39,1557548,1521,0,1521,35,96
