配置编号,Background数量,块大小,调度器模式,具体配置,运行次数,Sustained吞吐量,Burst延迟(μs),突发轮次,queue_MB均值,queue_MB峰值,完成时间
1,2,64K,none,none,1,7.518GB/s,94.19,275,N/A,N/A,2026年 05月 20日 星期三 22:37:39 CST
1,2,64K,bfq,bfq,1,7.147GB/s,85.02,275,0.46,0.52,2026年 05月 20日 星期三 22:38:21 CST
1,2,64K,duet_same,duet_same(16777216),1,7.144GB/s,84.82,275,0.44,0.52,2026年 05月 20日 星期三 22:39:22 CST
1,2,64K,duet_same,duet_same(8388608),1,7.147GB/s,85.12,275,0.44,0.52,2026年 05月 20日 星期三 22:40:23 CST
1,2,64K,duet_same,duet_same(4194304),1,7.141GB/s,83.74,275,0.45,0.52,2026年 05月 20日 星期三 22:41:24 CST
1,2,64K,duet_same,duet_same(2097152),1,7.142GB/s,84.09,275,0.45,0.52,2026年 05月 20日 星期三 22:42:25 CST
1,2,64K,duet_same,duet_same(1048576),1,7.142GB/s,84.7,275,0.46,0.52,2026年 05月 20日 星期三 22:43:26 CST
1,2,64K,duet_dual,duet_dual(2097152/1048576),1,7.143GB/s,84.74,275,0.44,0.52,2026年 05月 20日 星期三 22:44:27 CST
1,2,64K,duet_dual,duet_dual(2097152/524288),1,7.137GB/s,84.63,275,0.47,0.52,2026年 05月 20日 星期三 22:45:28 CST
1,2,64K,duet_dual,duet_dual(2097152/262144),1,7.186GB/s,76.53,275,0.45,0.52,2026年 05月 20日 星期三 22:46:29 CST
1,2,64K,none,none,2,7.524GB/s,93.31,275,N/A,N/A,2026年 05月 20日 星期三 22:47:15 CST
1,2,64K,bfq,bfq,2,7.146GB/s,84.61,275,0.45,0.52,2026年 05月 20日 星期三 22:47:57 CST
1,2,64K,duet_same,duet_same(16777216),2,7.150GB/s,85.04,275,0.46,0.52,2026年 05月 20日 星期三 22:48:58 CST
1,2,64K,duet_same,duet_same(8388608),2,7.142GB/s,85.47,275,0.46,0.52,2026年 05月 20日 星期三 22:49:59 CST
1,2,64K,duet_same,duet_same(4194304),2,7.142GB/s,84.73,275,0.46,0.52,2026年 05月 20日 星期三 22:51:00 CST
1,2,64K,duet_same,duet_same(2097152),2,7.151GB/s,85.31,275,0.46,0.52,2026年 05月 20日 星期三 22:52:01 CST
1,2,64K,duet_same,duet_same(1048576),2,7.147GB/s,83.65,275,0.44,0.52,2026年 05月 20日 星期三 22:53:02 CST
1,2,64K,duet_dual,duet_dual(2097152/1048576),2,7.149GB/s,85.39,275,0.45,0.52,2026年 05月 20日 星期三 22:54:03 CST
1,2,64K,duet_dual,duet_dual(2097152/524288),2,7.146GB/s,85.1,275,0.41,0.52,2026年 05月 20日 星期三 22:55:03 CST
1,2,64K,duet_dual,duet_dual(2097152/262144),2,7.187GB/s,76.55,275,0.44,0.52,2026年 05月 20日 星期三 22:56:04 CST
1,2,64K,none,none,3,7.524GB/s,93.78,275,N/A,N/A,2026年 05月 20日 星期三 22:56:51 CST
1,2,64K,bfq,bfq,3,7.143GB/s,85.07,275,0.46,0.52,2026年 05月 20日 星期三 22:57:33 CST
1,2,64K,duet_same,duet_same(16777216),3,7.139GB/s,84.67,275,0.45,0.52,2026年 05月 20日 星期三 22:58:34 CST
1,2,64K,duet_same,duet_same(8388608),3,7.143GB/s,85.13,275,0.45,0.52,2026年 05月 20日 星期三 22:59:35 CST
1,2,64K,duet_same,duet_same(4194304),3,7.144GB/s,84.99,275,0.46,0.52,2026年 05月 20日 星期三 23:00:36 CST
1,2,64K,duet_same,duet_same(2097152),3,7.141GB/s,84.94,275,0.44,0.52,2026年 05月 20日 星期三 23:01:37 CST
1,2,64K,duet_same,duet_same(1048576),3,7.146GB/s,85.24,275,0.46,0.52,2026年 05月 20日 星期三 23:02:37 CST
1,2,64K,duet_dual,duet_dual(2097152/1048576),3,7.151GB/s,85.59,275,0.43,0.52,2026年 05月 20日 星期三 23:03:38 CST
1,2,64K,duet_dual,duet_dual(2097152/524288),3,7.150GB/s,84.83,275,0.44,0.52,2026年 05月 20日 星期三 23:04:39 CST
1,2,64K,duet_dual,duet_dual(2097152/262144),3,7.199GB/s,77.31,275,0.45,0.52,2026年 05月 20日 星期三 23:05:40 CST
2,2,256K,none,none,1,7.530GB/s,274.55,271,N/A,N/A,2026年 05月 20日 星期三 23:06:32 CST
2,2,256K,bfq,bfq,1,7.251GB/s,278.03,271,1.85,2.1,2026年 05月 20日 星期三 23:07:14 CST
2,2,256K,duet_same,duet_same(16777216),1,7.253GB/s,277.61,271,1.86,2.1,2026年 05月 20日 星期三 23:08:15 CST
2,2,256K,duet_same,duet_same(8388608),1,7.245GB/s,278.49,271,1.89,2.1,2026年 05月 20日 星期三 23:09:15 CST
2,2,256K,duet_same,duet_same(4194304),1,7.258GB/s,299.16,271,1.83,2.1,2026年 05月 20日 星期三 23:10:16 CST
2,2,256K,duet_same,duet_same(2097152),1,7.247GB/s,277.07,271,1.88,2.1,2026年 05月 20日 星期三 23:11:17 CST
2,2,256K,duet_same,duet_same(1048576),1,7.234GB/s,180.47,271,0.98,1.18,2026年 05月 20日 星期三 23:12:18 CST
2,2,256K,duet_dual,duet_dual(2097152/1048576),1,7.239GB/s,169.39,271,1.78,2.1,2026年 05月 20日 星期三 23:13:19 CST
2,2,256K,duet_dual,duet_dual(2097152/524288),1,7.228GB/s,105.31,274,1.78,2.1,2026年 05月 20日 星期三 23:14:20 CST
2,2,256K,duet_dual,duet_dual(2097152/262144),1,7.230GB/s,86.34,275,1.82,2.1,2026年 05月 20日 星期三 23:15:21 CST
2,2,256K,none,none,2,7.530GB/s,277.28,271,N/A,N/A,2026年 05月 20日 星期三 23:16:08 CST
2,2,256K,bfq,bfq,2,7.258GB/s,301,271,1.82,2.1,2026年 05月 20日 星期三 23:16:50 CST
2,2,256K,duet_same,duet_same(16777216),2,7.256GB/s,277.25,271,1.77,2.1,2026年 05月 20日 星期三 23:17:50 CST
2,2,256K,duet_same,duet_same(8388608),2,7.266GB/s,277.63,271,1.85,2.1,2026年 05月 20日 星期三 23:18:51 CST
2,2,256K,duet_same,duet_same(4194304),2,7.250GB/s,301.15,271,1.89,2.1,2026年 05月 20日 星期三 23:19:52 CST
2,2,256K,duet_same,duet_same(2097152),2,7.262GB/s,299.23,271,1.81,2.1,2026年 05月 20日 星期三 23:20:53 CST
2,2,256K,duet_same,duet_same(1048576),2,7.239GB/s,181.87,270,1,1.18,2026年 05月 20日 星期三 23:21:54 CST
2,2,256K,duet_dual,duet_dual(2097152/1048576),2,7.243GB/s,166.87,271,1.83,2.1,2026年 05月 20日 星期三 23:22:55 CST
2,2,256K,duet_dual,duet_dual(2097152/524288),2,7.235GB/s,101.95,274,1.81,2.1,2026年 05月 20日 星期三 23:23:56 CST
2,2,256K,duet_dual,duet_dual(2097152/262144),2,7.218GB/s,83.31,275,1.76,2.1,2026年 05月 20日 星期三 23:24:57 CST
2,2,256K,none,none,3,7.529GB/s,278.22,271,N/A,N/A,2026年 05月 20日 星期三 23:25:43 CST
2,2,256K,bfq,bfq,3,7.251GB/s,297.68,271,1.82,2.1,2026年 05月 20日 星期三 23:26:25 CST
2,2,256K,duet_same,duet_same(16777216),3,7.249GB/s,276.77,271,1.85,2.1,2026年 05月 20日 星期三 23:27:26 CST
2,2,256K,duet_same,duet_same(8388608),3,7.263GB/s,277.41,271,1.83,2.1,2026年 05月 20日 星期三 23:28:27 CST
2,2,256K,duet_same,duet_same(4194304),3,7.254GB/s,276.77,271,1.87,2.1,2026年 05月 20日 星期三 23:29:28 CST
2,2,256K,duet_same,duet_same(2097152),3,7.241GB/s,268.78,271,1.88,2.1,2026年 05月 20日 星期三 23:30:29 CST
2,2,256K,duet_same,duet_same(1048576),3,7.246GB/s,176.15,270,0.97,1.18,2026年 05月 20日 星期三 23:31:30 CST
2,2,256K,duet_dual,duet_dual(2097152/1048576),3,7.244GB/s,165.62,271,1.82,2.1,2026年 05月 20日 星期三 23:32:31 CST
2,2,256K,duet_dual,duet_dual(2097152/524288),3,7.229GB/s,103.31,274,1.76,2.1,2026年 05月 20日 星期三 23:33:32 CST
2,2,256K,duet_dual,duet_dual(2097152/262144),3,7.232GB/s,85.58,274,1.78,2.1,2026年 05月 20日 星期三 23:34:32 CST
3,2,1024K,none,none,1,7.531GB/s,1066.5,267,N/A,N/A,2026年 05月 20日 星期三 23:35:24 CST
3,2,1024K,bfq,bfq,1,7.237GB/s,1034.29,267,7.36,8.26,2026年 05月 20日 星期三 23:36:06 CST
3,2,1024K,duet_same,duet_same(16777216),1,7.232GB/s,1032.68,267,6.56,8.26,2026年 05月 20日 星期三 23:37:07 CST
3,2,1024K,duet_same,duet_same(8388608),1,7.235GB/s,1034.82,267,6.62,8.26,2026年 05月 20日 星期三 23:38:08 CST
3,2,1024K,duet_same,duet_same(4194304),1,7.262GB/s,560.4,271,3.55,4.33,2026年 05月 20日 星期三 23:39:09 CST
3,2,1024K,duet_same,duet_same(2097152),1,7.248GB/s,295.09,271,1.71,2.23,2026年 05月 20日 星期三 23:40:10 CST
3,2,1024K,duet_same,duet_same(1048576),1,6.855GB/s,215.72,271,0.78,1.18,2026年 05月 20日 星期三 23:41:11 CST
3,2,1024K,duet_dual,duet_dual(2097152/1048576),1,7.230GB/s,194.28,271,1.69,2.23,2026年 05月 20日 星期三 23:42:12 CST
3,2,1024K,duet_dual,duet_dual(2097152/524288),1,7.195GB/s,137.41,273,1.76,2.23,2026年 05月 20日 星期三 23:43:13 CST
3,2,1024K,duet_dual,duet_dual(2097152/262144),1,7.183GB/s,98.77,274,1.61,2.23,2026年 05月 20日 星期三 23:44:14 CST
3,2,1024K,none,none,2,7.531GB/s,1063.95,267,N/A,N/A,2026年 05月 20日 星期三 23:45:00 CST
3,2,1024K,bfq,bfq,2,7.222GB/s,1035.35,267,6.65,8.26,2026年 05月 20日 星期三 23:45:42 CST
3,2,1024K,duet_same,duet_same(16777216),2,7.227GB/s,1036.07,267,6.66,8.26,2026年 05月 20日 星期三 23:46:43 CST
3,2,1024K,duet_same,duet_same(8388608),2,7.223GB/s,1030.84,267,6.55,8.26,2026年 05月 20日 星期三 23:47:44 CST
3,2,1024K,duet_same,duet_same(4194304),2,7.250GB/s,568.22,271,3.55,4.33,2026年 05月 20日 星期三 23:48:45 CST
3,2,1024K,duet_same,duet_same(2097152),2,7.247GB/s,291.77,271,1.67,2.23,2026年 05月 20日 星期三 23:49:46 CST
3,2,1024K,duet_same,duet_same(1048576),2,6.858GB/s,165.4,271,0.81,1.18,2026年 05月 20日 星期三 23:50:47 CST
3,2,1024K,duet_dual,duet_dual(2097152/1048576),2,7.276GB/s,159.57,272,1.62,2.23,2026年 05月 20日 星期三 23:51:48 CST
3,2,1024K,duet_dual,duet_dual(2097152/524288),2,7.196GB/s,124.62,273,1.61,2.23,2026年 05月 20日 星期三 23:52:49 CST
3,2,1024K,duet_dual,duet_dual(2097152/262144),2,7.182GB/s,99.45,275,1.66,2.23,2026年 05月 20日 星期三 23:53:50 CST
3,2,1024K,none,none,3,7.531GB/s,1067.79,267,N/A,N/A,2026年 05月 20日 星期三 23:54:37 CST
3,2,1024K,bfq,bfq,3,7.223GB/s,1035.43,267,7.2,8.26,2026年 05月 20日 星期三 23:55:18 CST
3,2,1024K,duet_same,duet_same(16777216),3,7.232GB/s,1033.75,267,6.6,8.26,2026年 05月 20日 星期三 23:56:19 CST
3,2,1024K,duet_same,duet_same(8388608),3,7.232GB/s,1038.14,267,6.63,8.26,2026年 05月 20日 星期三 23:57:20 CST
3,2,1024K,duet_same,duet_same(4194304),3,7.240GB/s,572.65,270,3.62,4.33,2026年 05月 20日 星期三 23:58:21 CST
3,2,1024K,duet_same,duet_same(2097152),3,7.275GB/s,283.13,271,1.69,2.23,2026年 05月 20日 星期三 23:59:22 CST
3,2,1024K,duet_same,duet_same(1048576),3,6.846GB/s,189.04,271,0.82,1.18,2026年 05月 21日 星期四 00:00:23 CST
3,2,1024K,duet_dual,duet_dual(2097152/1048576),3,7.271GB/s,160.01,272,1.6,2.23,2026年 05月 21日 星期四 00:01:24 CST
3,2,1024K,duet_dual,duet_dual(2097152/524288),3,7.161GB/s,136.12,273,1.65,2.23,2026年 05月 21日 星期四 00:02:25 CST
3,2,1024K,duet_dual,duet_dual(2097152/262144),3,7.194GB/s,94.76,275,1.58,2.23,2026年 05月 21日 星期四 00:03:26 CST
4,2,4096K,none,none,1,7.531GB/s,3725.55,266,N/A,N/A,2026年 05月 21日 星期四 00:04:18 CST
4,2,4096K,bfq,bfq,1,7.303GB/s,3737.93,266,27.78,32.64,2026年 05月 21日 星期四 00:05:00 CST
4,2,4096K,duet_same,duet_same(16777216),1,7.284GB/s,2123.83,266,13.24,16.78,2026年 05月 21日 星期四 00:06:01 CST
4,2,4096K,duet_same,duet_same(8388608),1,7.265GB/s,999.57,268,6.19,8.52,2026年 05月 21日 星期四 00:07:02 CST
4,2,4096K,duet_same,duet_same(4194304),1,7.239GB/s,432.72,271,2.51,4.33,2026年 05月 21日 星期四 00:08:03 CST
4,2,4096K,duet_same,duet_same(2097152),1,6.513GB/s,266.33,271,1.22,2.23,2026年 05月 21日 星期四 00:09:04 CST
